kode_rs,tgl_registrasi,nama_rs,jenis_rs,kelas_rs,direktur_rs,alamat_rs,penyelenggara_rs,lokasi_rs,kodepos,telepon,fax,email,telepon_humas,website,luas_tanah,luas_bangunan,no_surat_izin,tanggal_surat_izin,penerbit_izin,sifat_izin,masa_berlaku_izin,status_penyelenggara,swasta,pentahapan_akreditasi,status_akreditasi,vvip,vip,kelas_i,kelas_ii,kelas_iii,ruang_icu,ruang_picu,ruang_nicu,ruang_hcu,ruang_iccu,tt_igd,tt_bayi_lahir,tt_kamar_bersalin,tt_ruang_operasi,tt_ruang_isolasi,spesialis_anak,spesialis_kandungan,spesialis_penyakit_dalam,spesialis_bedah,spesialis_radiologi,spesialis_rekam_medik,spesalis_anestesi,spesialis_jantung,speisalis_saraf,speisalis_paru,speisalis_mata,speisalis_tht,speisalis_patologi_klinik,speisalis_jiwa_psikiatri,speisalis_patologi_anatomi,speisalis_okupasi,speisalis_urologi,speisalis_orthopedi,speisalis_kulit_kelamin,speisalis_forensik,speisalis_psikiatri,speisalis_ofthalmologi,speisalis_lainnya,speisalis_bedah_jantung,speisalis_bedah_syaraf,speisalis_bedah_plastik,speisalis_bedah_anak,speisalis_bedah_tulang,dokter_sub_spesialis,dokter_umum,dokter_gigi,drg_spesialis_karang_gigi,drg_spesialis_bedah_mulut,drg_spesialis_anak,drg_spesialis_konservasi,drg_spesialis_gigi_tiruan,drg_spesialis_penyakit_mulut,drg_spesialis_periodonsia,drg_spesialis_radiologi,drg_spesialis_karang_lainnya,ners,perawat_gigi,perawat_bedah,perawat_kes_jiwa,perawat_maternitas,perawat_anak,perawat_komunitas,perawat_lainnya,bidan_pendidik,bidan_klinik,bidan_lainnya,apoteker,analis_farmasi,radiografer,radioterapis,elektromedis,teknisi_gigi,analis_kesehatan,refraksionis,rekam_medik,ortotik,teknisi_transfusi_darah,teknisi_kardiovaskular,epidemiologi,promkes,kesja,adm_kesehatan,biostatik,reproduksi,informasi_kesehatan,kesmas_lain,sanitasi,entomologi,mikrobiologi,kesling,nutrisionis,dietsien,fisioterapi,terapi_okupasi,terapi_wicara,akupunturis,progkes,pelaporan,adm_keuangan,teknologi_informasi,humas,hukum,perencanaan,pekarya,jamkes,perpustakaan,dosen,widyaiswara,psikologi,tenaga_non_kes,bor,los,toi,ndr,gdr,meja_operasi,mesin_anestesi,ventilator,inkubator,blue_light,usg,x_ray,ct_scan,mri,eeg,ekg,defibrilator,autoclav,ambulan,simrs,bank_darah,rawat_jalan,rawat_inap,igd,layanan_unggulan,tanggal_update
3273015, 26/01/2016,RSUP Dr. Hasan Sadikin,RSU,A,"Dr. Ayi Djembarsari, MARS",Jl. Pasteur 38 Bandung,Kementerian Kesehatan RI,Kota Bandung,40161,022-2034953 /54, 022-2032216 , humprorshs@gmail.com, 022-2551101, web.rshs.or.id, 87.798, 109.483,297/Menkes/SK/VIII/2012, 13/08/2012,Kementerian Kesehatan RI,Tetap,5 Tahun, Kementerian Kesehata,-,Pentahapan III (16 Pelayanan), Lulus, 0, 74, 115, 159, 429, 14, 4, 10, 83, 9, 55, 40, 11, 24, 37, 16, 43, 12, 4, 10, 11, 21, 16, 14, 0, 2, 18, 15, 0, 10, 0, 11, 15, 19, 10, 11, 0, 8, 3, 13, 4, 6, 0, 85, 28, 2, 0, 5, 1, 1, 0, 1, 1, 0, 0, 185, 18, 89, 0, 0, 0, 0, 873, 0, 0, 79, 33, 144, 41, 0, 13, 1, 113, 0, 74, 4, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 34, 0, 14, 3, 2, 0,, 2, 66, 18, 8, 4, 8, 293, 0, 1, 0, 0, 2, 533, 81.31, 7, 2, 3, 3, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, 5001115, 52638, 43348, Kedokteran Nuklir, 08/12/2016
3273165, 26/11/2016,RSIA Limijati,RSIA,C,"Dr. Suganda T,Sp.A (K)","Jl. LLRE Martadinata No.39,Bandung",Organisasi Sosial,Kota Bandung,22,4207770, 4260956, -, -, www.rsia-limijati.com, 3553, 5.364.374,445.1/kep/21/I.25.b/IPRSU-B-BPMPT/2015, 20/11/2015,Dinas Kesehatan Kota Bandung,Tetap, 2020, Lainnya,Perusahaan,Pentahapan I ( 5 Pelayanan), Tingkat Paripurna, 4, 13, 26, 12, 14, 2, 2, 6, 0, 0, 4, 30, 3, 3, 2, 31, 24, 3, 3, 1, 2, 7, 0, 0, 0, 0, 2, 2, 0, 0, 0, 1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 12, 2, 34, 1, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 93, 0, 0, 64, 3, 0, 1, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 4, 0, 6, 2, 2, 0,, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 117, 59.55, 3.4, 2.2, 1.54, 2.4, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Tidak Ada, Tidak Ada, Tidak Ada, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi,, Tidak Ada, 108275, 5847, 10407,, 26/11/2016
3204041, 01/08/2013,RSU Kebonjati,RSU,C,"dr Junandi Surjautama,SH,MM.",Jl. Kebonjati No 152 Bandung,Organisasi Sosial,Kota Bandung,40181,(022) 6014058, (022) 6031969, rskebonjati@gmail.com, -, http://www.rskebonjati.com, 7849, 8406,445/9218-Dinkes/08-SIPRS/XI/14, 27/11/2014,Dinas Kesehatan Kota Bandung,Tetap, 27 November 2019, Lainnya, Yayasan,Pentahapan II (12 Pelayanan), Lulus, 5, 21, 20, 29, 35, 7, 0, 0, 0, 0, 8, 9, 5, 3, 9, 2, 3, 3, 4, 1, 0, 3, 1, 2, 0, 2, 2, 0, 1, 1, 0, 1, 1, 2, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 11, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 8, 1, 14, 0, 12, 11, 0, 93, 0, 3, 0, 3, 5, 4, 0, 0, 0, 9, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 0, 0, 0,, 0, 6, 0, 0, 1, 0, 36, 0, 0, 0, 0, 0, 45, 40.06, 4, 5, 15.59, 34.27, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Tidak Berfungsi, Tidak Ada, Tidak Ada, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi,,, Tidak Ada, 49012, 5811, 9760,, 25/11/2016
3273543, 31/08/2016,RSU Melinda 2,RSU,C,"dr Ancilla Linna Limmena., MM., M.Kes.,",Jl. Dr. Cipto No.1,Swasta/Lainnya,Kota Bandung,40171,022 - 4233 777, 022 - 4247888, rsu.melinda2@gmail.com, 022 - 4267888, www.rsmelinda2.com, 2913.878, 18192.006,, 00/00/0000,-,-,,-,-,-,, 1, 10, 8, 6, 3, 2, 2, 2, 2, 0, 0, 5, 0, 0, 0, 13, 15, 8, 3, 3, 0, 5, 3, 2, 0, 4, 2, 1, 2, 0, 0, 6, 0, 3, 0, 0, 0, 1, 1, 2, 3, 2, 7, 0, 10, 10, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,,,,,,,,,,,,,,,,, 0, 0, 0,, 23/11/2016
3273063, 21/11/2014,RSU St Yusup Bandung,RSU,C,"dr. Odilia Bajang, Sp.PK.,M.MRS",Jl. Cikutra No. 7 Bandung,Organisasi Katholik,Kota Bandung,40124,7208172, 7202419, sekretariat@rssantoyusup.com, 7208172 ek 6204, www.rssantoyusup.com, 17.883, 9.421,445/3925-Dinkes/06-SIPRS/IV/12, 12/04/2012,Dinas Kesehatan Kota Bandung,Perpanjang,  27 April 2017, Lainnya, Khatolik,-, Tingkat Paripurna, 7, 12, 114, 45, 44, 6, 0, 0, 0, 0, 0, 15, 16, 3, 10, 6, 6, 7, 6, 4, 2, 6, 0, 3, 0, 2, 4, 2, 1, 1, 0, 1, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 2, 0, 0, 0, 0, 0, 244, 0, 0, 21, 2, 0, 4, 0, 0, 0, 19, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 8, 1, 1, 0,, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 67.79, 3.68, 1.75, 1.74, 3.24, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Tidak Ada, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, 0, 0, 0,, 16/11/2016
3273096, 13/02/2013,RSU KCK Pindad,RSU,D,"Lia Yuliani, dr., M.M.",Jl. Jend. Gatot Subroto No. 517 RT.07 RW.11,BUMN,Kota Bandung,40285,022-7322877, 022-7322468, sekretariat@rspindad.com, 022-7322877, www.rspindad.com, 5000, 3950,445/1544-Dinkes/04-SIPRS/II/13, 11/03/2013,Dinas Kesehatan Kota Bandung,Tetap,5 Tahun, PT. Cakra Mandiri Pratama Indonesia,Perusahaan,Pentahapan I ( 5 Pelayanan), Lulus, 0, 4, 13, 13, 33, 0, 0, 0, 2, 0, 6, 5, 5, 11, 2, 3, 3, 5, 3, 2, 2, 3, 0, 3, 0, 2, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 21, 4, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 98, 0, 0, 20, 3, 0, 9, 0, 0, 0, 12, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 78.58, 2.5, 0.7, 10.8, 25.3, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Tidak Ada, Tidak Ada, Tidak Ada, Ada-Berfungsi, Tidak Ada, Tidak Ada, Ada-Berfungsi, Ada-Berfungsi, Tidak Ada, 102487, 7620, 17198, -, 16/11/2016
3273191, 00/00/0000,PMN RS Mata Cicendo,RSK Mata,A,"dr. Irayanti, SpM(K), MARS",Jl. Cicendo No.4 Bandung,Kementerian Kesehatan RI,Kota Bandung,40117,022-4231280, 022-4201960, anggaran.rsmc@gmail.com, (022)4231280, cicendoeyehospital.org, 10.675, 28.505.5,HK.07.06/III/6586/10, 05/11/2010,Kementerian Kesehatan RI,Perpanjang,5 Tahun, RS MATA CICENDO BAND,-,-, Tingkat Paripurna, 0, 12, 28, 17, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 3, 0, 0, 0, 34, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 21, 0, 0, 0, 0, 114, 0, 0, 0, 5, 19, 5, 0, 6, 0, 9, 17, 17, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 0, 6, 0, 0, 0, 0,, 0, 27, 8, 1, 1, 0, 0, 0, 2, 0, 0, 0, 147, 52.8, 2, 2, 0, 0, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Tidak Ada, Tidak Ada, Tidak Ada, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Tidak Ada, 159861, 10233, 6258," Katarak, Retina, Glaukoma, Lasik", 09/11/2016
3273201, 11/12/2015,RS Paru Dr. H. A. Rotinsulu,RSTP,A,"dr. R. Nina Susana Dewi.,Sp.PK(K).,M.Ke",Jl. Bukit Jarian No. 40 Bandung,Kementerian Kesehatan RI,Kota Bandung,140141,022-2034446, 022-2031427, rsp_bandung@yahoo.co.id, 022-2034446, www.rsparurotinsulu.org, 33.900, 12.139,407/Menkes/SK/XI/2012, 20/11/2012,Kementerian Kesehatan RI,Tetap,5 Tahun, RSP Dr. H. A. Rotinsulu,-,Pentahapan III (16 Pelayanan), Lulus, 0, 8, 18, 32, 58, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2, 2, 2, 0, 0, 5, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 15, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 1, 1, 0, 0, 0, 0, 95, 0, 0, 0, 4, 10, 6, 0, 2, 0, 17, 0, 12, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0, 3, 0, 0, 0,, 0, 21, 5, 1, 0, 1, 21, 0, 0, 0, 0, 1, 124, 56.1, 7, 5, 61, 72, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Tidak Ada, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Tidak Ada, Tidak Ada, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Tidak Ada, 21616, 3247, 3490, -, 08/11/2016
3273260, 01/01/2012,RS Khusus Ibu & Anak Kota Bandung,RS Bersalin,B,"dr. Taat Tagore Diah Rangkuti, M.KKK",Jl. Astanaanyar 224 Bandung,Pemerintah Kota,Kota Bandung,40241,022-5201139, 022-5221531, sekretariat@rskiakotabandung.com, 022-5221531, rskiakotabandung.com, 1216, 3500, 445.1/kep.//I.25.b/IPRSU-B-BPPT/2012, 07/03/2013,BPPT Provinsi Jawa Barat,Sementara, 1 Tahun,-,-,Pentahapan III (16 Pelayanan), Tingkat Paripurna, 0, 0, 0, 4, 61, 2, 0, 0, 0, 0, 6, 10, 10, 2, 1, 5, 5, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 70, 1, 75, 0, 4, 13, 5, 0, 3, 0, 14, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 5, 0, 0, 0, 0, 0,, 0, 13, 3, 0, 1, 0, 0, 0, 0, 0, 0, 1, 62, 104, 2.2, -0.09, 3, 10, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Tidak Ada, Tidak Ada, Tidak Ada, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, 27725, 11151, 8111,, 22/06/2016
3273121, 16/03/2016,RSU Rajawali,RSU,C,"Dr. dr. Demin Shen,M.Kes",Jl. Rajawali No.38 Bandung,Organisasi Sosial,Kota Bandung,22,6011913, 6032077, biotek@bdg.centrin.net.id, -, -, 14.134, 23.448, 1534/MENKES/SK/X/2010, 00/00/0000,-,Perpanjang,  2016,-,-,Pentahapan II (12 Pelayanan), Bersyarat, 1, 7, 20, 31, 57, 10, 7, 4, 0, 10, 9, 0, 15, 6, 0, 3, 4, 2, 2, 0, 0, 2, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 23, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 2, 2, 1, 0, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 4, 0, 0, 0,, 0, 0, 0, 0, 1, 0, 26, 0, 0, 0, 0, 0, 0, 91.2, 3.41, 2.12, 2.05, 3.38, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, Tidak Ada, Ada-Berfungsi, Ada-Berfungsi, Tidak Ada, Tidak Ada, Ada-Berfungsi, Ada-Berfungsi, Ada-Berfungsi, 110242, 9410, 0,, 18/06/2016
