nama_kecamatan,iud,mow,mop,kondom,implant,suntikan,pil
Sukasari,25,0,0,2,3,32,8
Coblong,20,0,0,1,1,34,0
Babakan Ciparay,12,0,0,0,0,5,1
Bojongloa Kaler,58,0,0,1,7,23,2
Andir,27,0,0,1,3,17,1
Cicendo,40,0,0,4,0,23,2
Sukajadi,80,24,0,12,1,18,10
Cidadap,8,0,0,0,0,19,0
Bandung Wetan,10,12,0,2,1,10,5
Astana Anyar,122,13,0,0,3,95,0
Regol,33,2,0,3,0,26,9
Batununggal,41,0,0,0,12,37,0
Lengkong,18,0,0,0,8,20,3
Cibeunying Kidul,4,0,0,1,0,9,0
Bandung Kulon,5,0,0,6,1,46,35
Kiaracondong,1,0,0,0,2,19,0
Bojongloa Kidul,5,0,0,0,0,1,0
Cibeunying Kaler,11,0,0,0,0,0,0
Sumur Bandung,5,0,0,3,0,13,7
Antapani,1,0,0,0,0,15,3
Bandung Kidul,2,0,0,0,0,26,0
Buahbatu,8,0,0,0,2,21,0
Rancasari,3,0,0,10,0,44,5
Arcamanik,11,0,0,0,0,12,3
Cibiru,8,0,0,4,1,20,7
Ujung Berung,3,0,0,0,0,9,9
Gedebage,14,1,0,0,1,12,11
Panyileukan,6,0,0,0,0,11,0
Cinambo,99,9,0,0,15,3,0
Mandalajati,14,0,0,0,0,8,0
