nama_kecamatan,iud,mow,mop,kondom,implant,suntikan,pil
Sukasari,5,0,0,0,0,20,4
Coblong,13,2,0,2,0,0,1
Babakan Ciparay,0,0,0,0,0,7,1
Bojongloa Kaler,9,0,0,0,0,5,10
Andir,13,2,0,0,0,5,0
Cicendo,11,0,0,0,0,20,7
Sukajadi,8,2,0,0,0,26,5
Cidadap,0,0,0,0,0,0,0
Bandung Wetan,29,5,0,0,0,5,0
Astana Anyar,2,0,0,0,2,6,6
Regol,0,0,0,0,0,0,0
Batununggal,1,0,0,0,0,18,2
Lengkong,2,1,0,0,0,5,1
Cibeunying Kidul,0,0,0,0,0,0,0
Bandung Kulon,1,0,0,0,0,39,0
Kiaracondong,8,2,0,3,0,16,0
Bojongloa Kidul,18,13,0,0,0,14,5
Cibeunying Kaler,9,0,0,0,0,12,0
Sumur Bandung,3,2,0,0,0,0,0
Antapani,0,0,0,0,0,2,0
Bandung Kidul,7,0,0,54,0,15,5
Buahbatu,15,4,0,2,0,9,0
Rancasari,8,4,0,0,0,18,6
Arcamanik,0,0,0,0,0,0,0
Cibiru,12,0,0,0,0,4,0
Ujung Berung,0,0,0,0,0,0,0
Gedebage,0,0,0,0,0,0,0
Panyileukan,0,0,0,0,0,0,0
Cinambo,0,0,0,0,0,0,0
Mandalajati,0,0,0,0,0,0,0
