lokasi,nama_komoditas,2016-01-01,2016-01-08,2016-01-15,2016-01-22,2016-01-29,2016-01-04,2016-01-05,2016-01-06,2016-01-07,2016-01-11,2016-01-12,2016-01-13,2016-01-18,2016-01-19,2016-01-20,2016-01-21,2016-01-25,2016-01-26,2016-01-27,2016-01-28,
Pasar Sederhana,Cabe Keriting,0,55000,0,30000,25000,55000,55000,55000,55000,45000,45000,0,40000,40000,30000,30000,25000,25000,25000,25000,
Pasar Sederhana,Cabe Rawit,0,50000,45000,50000,40000,50000,50000,50000,50000,45000,45000,45000,50000,50000,50000,50000,40000,40000,40000,0,
Pasar Sederhana,Kacang Tanah,0,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,
Pasar Sederhana,Ubi Kayu,0,4000,4000,4000,4000,4000,4000,4000,4000,4000,0,4000,4000,4000,4000,4000,4000,4000,4000,4000,
Pasar Sederhana,Ubi Jalar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pasar Sederhana,Jagung,0,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,0,7000,7000,
Pasar Sederhana,Ikan Olahan,0,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,0,70000,0,70000,0,70000,70000,70000,
Pasar Sederhana,Beras Premium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pasar Sederhana,Minyak Goreng Curah,0,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,
Pasar Sederhana,Daging Ayam Kampung,0,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,
Pasar Sederhana,Telur Ayam Kampung,0,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,
Pasar Sederhana,Susu Kental Manis Merk Bendera,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,
Pasar Sederhana,Susu Kental Manis Merk Indomilk,0,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,
Pasar Sederhana,Garam Beryodium Bata,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
Pasar Sederhana,Garam Beryodium Halus,0,4000,4000,4000,4000,0,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,
Pasar Sederhana,Tepung Terigu Cakra Kembar,0,8500,8500,8500,8500,8500,8500,8500,8500,0,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,
Pasar Sederhana,Tepung Terigu Kunci,0,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,
Pasar Sederhana,Mie Instan,0,2000,2000,2000,0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
Pasar Sederhana,Cabe Rawit Hijau,0,40000,35000,25000,25000,40000,40000,40000,40000,35000,35000,35000,30000,30000,25000,25000,25000,25000,25000,25000,
Pasar Sederhana,Kacang Hijau,0,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,
Pasar Sederhana,Susu Bubuk Dancow,0,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,
Pasar Sederhana,Susu Bubuk Indomilk,0,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,
Pasar Sederhana,Ikan Kembung,0,32000,32000,32000,32000,32000,32000,0,32000,32000,32000,32000,32000,32000,32000,0,32000,32000,32000,32000,
