nama_kecamatan,iud,mow,mop,kondom,implant,suntikan,pil
Sukasari,3,0,0,2,4,19,13
Coblong,19,0,0,0,4,58,5
Babakan Ciparay,38,0,0,2,11,3,1
Bojongloa Kaler,35,1,0,10,0,23,15
Andir,12,0,0,0,0,13,0
Cicendo,22,0,0,6,0,19,4
Sukajadi,117,29,0,31,11,19,11
Cidadap,8,10,0,0,0,18,0
Bandung Wetan,21,7,0,15,3,16,8
Astana Anyar,91,21,0,0,4,67,12
Regol,29,3,0,0,1,7,1
Batununggal,39,0,0,0,1,15,0
Lengkong,10,0,0,4,2,24,1
Cibeunying Kidul,6,0,0,1,0,13,0
Bandung Kulon,10,0,0,5,3,45,32
Kiaracondong,1,0,0,5,0,42,6
Bojongloa Kidul,0,0,0,0,0,4,0
Cibeunying Kaler,2,0,0,0,0,0,0
Sumur Bandung,4,0,0,5,0,19,17
Antapani,2,0,0,1,0,8,0
Bandung Kidul,4,0,0,0,1,21,0
Buahbatu,6,0,0,0,1,15,0
Rancasari,6,0,0,1,0,43,15
Arcamanik,13,0,0,0,0,15,0
Cibiru,4,0,0,2,2,35,8
Ujung Berung,1,0,0,2,0,7,3
Gedebage,9,0,0,6,0,20,26
Panyileukan,2,0,0,0,0,9,0
Cinambo,99,13,0,0,0,4,0
Mandalajati,1,0,0,0,0,6,2
