"KODE 
REKENING,URAIAN,JUMLAH,DASAR HUKUM",URAIAN,JUMLAH,DASAR HUKUM
1.05 . 1.05.01 . 00 . 00 . 5,BELANJA,295820214365,
1.05 . 1.05.01 . 00 . 00 . 5 . 1,BELANJA TIDAK LANGSUNG,21971998235,
1.05 . 1.05.01 . 00 . 00 . 5 . 1 . 1,Belanja Pegawai,21971998235,PP 12 Tahun 2006 ttg Tunjangan Umum bagi PNS
1.05 . 1.05.01 . 01 . 01 . 5 . 2,BELANJA LANGSUNG,273848216130,
1.05 . 1.05.01 . 01,Program Pelayanan Administrasi Perkantoran,4475325000,
1.05 . 1.05.01 . 01 . 01,Penyediaan jasa surat menyurat,50000000,
1.05 . 1.05.01 . 01 . 01 . 5 . 2 . 1,Belanja Pegawai,20725000,
1.05 . 1.05.01 . 01 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,29275000,
1.05 . 1.05.01 . 01 . 02,Penyediaan jasa komunikasi sumber daya air dan listrik,550000000,
1.05 . 1.05.01 . 01 . 02 . 5 . 2 . 1,Belanja Pegawai,10725000,
1.05 . 1.05.01 . 01 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,539275000,
1.05 . 1.05.01 . 01 . 03,Penyediaan jasa peralatan dan perlengkapan kantor,200000000,
1.05 . 1.05.01 . 01 . 03 . 5 . 2 . 1,Belanja Pegawai,15725000,
1.05 . 1.05.01 . 01 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,184275000,
1.05 . 1.05.01 . 01 . 08,Penyediaan jasa kebersihan kantor,260000000,
1.05 . 1.05.01 . 01 . 08 . 5 . 2 . 1,Belanja Pegawai,13925000,
1.05 . 1.05.01 . 01 . 08 . 5 . 2 . 2,Belanja Barang dan Jasa,246075000,
1.05 . 1.05.01 . 01 . 10,Penyediaan alat tulis kantor,200000000,
1.05 . 1.05.01 . 01 . 10 . 5 . 2 . 1,Belanja Pegawai,12525000,
1.05 . 1.05.01 . 01 . 10 . 5 . 2 . 2,Belanja Barang dan Jasa,187475000,
1.05 . 1.05.01 . 01 . 11,Penyediaan barang cetakan dan penggandaan,292325000,
