NO.,NAMA TAKSI,NAMA PERUSAHAAN,ALAMAT,JUMLAH IZIN,REALISASI KENDARAAN,KETERANGAN
1,GEMAH RIPAH,PT. Tara Megah Muliatama,Jl. Gudang Selatan No. 22,472,472,Izin dari Kota Bandung
2,GEMAH RIPAH,PT. Tara Megah Muliatama,Jl. Gudang Selatan No. 22,41,41,Izin dari Provinsi
3,KOTA KEMBANG,CV. Surya Pratama Mandiri,Jl. H. Ibrahim Adjie No. 338,261,261,Izin dari Kota Bandung
4,CIPAGANTI,PT. Cipaganti Citra Graha,Jl. Gatot Subroto No. 94,69,69,Izin dari Provinsi
5,PRIMKOPAU,Primkopau,Jl. Pajajaran No. 237,136,136,Izin dari Kota Bandung
6,BLUE BIRD,PT. Blue Bird,Jl. Ters. Buah Batu No. 194,211,211,Izin dari Kota Bandung
7,PUTRA,PT. Citra Transport Nusantara,Jl. Cibolerang No. 203,255,255,Izin dari Kota Bandung
8,CIPAGANTI,PT. Cipaganti Citra Graha,Jl. Gatot Subroto No. 94,103,103,Izin dari Kota Bandung
9,RINA RINI,CV. Rina Rini,Jl. Aksan No. 59,102,102,Izin dari Kota Bandung
10,AA,PT. Pahala Esa Pratama,Jl. Industri No. 15,300,206,Izin dari Kota Bandung
11,DAMAI RAYA,PT. Damai Raya,Jl. Peta No. 261,50,50,Izin dari Kota Bandung
