NO,PENDIDIKAN UMUM DAN MATA PENCAHARIAN TETAP,WNI PRIA,WNI WANITA,WNI  KETURUNAN PRIA,WNI KETURUNAN WANITA,WNA PRIA,WNA WANITA,KELURAHAN
A,PENDIDIKAN,,,,,,,
1,Tidak / belum sekolah,2324,2064,0,0,0,0,CIGONDEWAH KALER
2,Tidak tamat SD,2357,2018,0,0,0,0,CIGONDEWAH KALER
3,Belum tamat SD,1425,1927,0,0,0,0,CIGONDEWAH KALER
4,Tamat  SD,1645,1742,0,0,0,0,CIGONDEWAH KALER
5,S  L  P,1208,1152,0,0,0,0,CIGONDEWAH KALER
6,S  L  A,1485,1454,0,0,0,0,CIGONDEWAH KALER
7,Akademi / Sarjana Muda,103,59,0,0,0,0,CIGONDEWAH KALER
8,Sarjana,191,122,0,0,0,0,CIGONDEWAH KALER
B,MATA  PENCAHARIAN,,,,,,,
1,Pegawai Negeri,104,86,0,0,0,0,CIGONDEWAH KALER
2,A. B. R. I.,12,0,0,0,0,0,CIGONDEWAH KALER
3,Pegawai Swasta,1829,1728,0,0,0,0,CIGONDEWAH KALER
4,Tani,1604,1343,0,0,0,0,CIGONDEWAH KALER
5,Dagang,1916,2150,0,0,0,0,CIGONDEWAH KALER
6,Pelajar,4373,4231,0,0,0,0,CIGONDEWAH KALER
7,Mahasiswa,143,176,0,0,0,0,CIGONDEWAH KALER
8,Pensiunan,56,54,0,0,0,0,CIGONDEWAH KALER
9,Lain-lain,701,770,0,0,0,0,CIGONDEWAH KALER
