KODE REKENING,URAIAN,JUMLAH,DASAR HUKUM
1.20 . 1.20.20 . 00 . 00 . 5,BELANJA,24748950725,
1.20 . 1.20.20 . 00 . 00 . 5 . 1,BELANJA TIDAK LANGSUNG,6212782024,
1.20 . 1.20.20 . 00 . 00 . 5 . 1 . 1,Belanja Pegawai,6212782024,PP 12 Tahun 2006 ttg Tunjangan Umum bagi PNS
1.20 . 1.20.20 . 01 . 02 . 5 . 2,BELANJA LANGSUNG,18536168701,
1.20 . 1.20.20 . 01,Program Pelayanan Administrasi Perkantoran,1095827701,
1.20 . 1.20.20 . 01 . 02,Penyediaan jasa komunikasi sumber daya air dan listrik,94591701,
1.20 . 1.20.20 . 01 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,94591701,
1.20 . 1.20.20 . 01 . 06,Penyediaan jasa pemeliharaan dan perizinan kendaraan dinas/operasional,30000000,
1.20 . 1.20.20 . 01 . 06 . 5 . 2 . 2,Belanja Barang dan Jasa,30000000,
1.20 . 1.20.20 . 01 . 08,Penyediaan jasa kebersihan kantor,92450000,
1.20 . 1.20.20 . 01 . 08 . 5 . 2 . 1,Belanja Pegawai,1400000,
1.20 . 1.20.20 . 01 . 08 . 5 . 2 . 2,Belanja Barang dan Jasa,91050000,
1.20 . 1.20.20 . 01 . 09,Penyediaan jasa perbaikan peralatan kerja,30000000,
1.20 . 1.20.20 . 01 . 09 . 5 . 2 . 2,Belanja Barang dan Jasa,30000000,
1.20 . 1.20.20 . 01 . 10,Penyediaan alat tulis kantor,120000000,
1.20 . 1.20.20 . 01 . 10 . 5 . 2 . 2,Belanja Barang dan Jasa,120000000,
1.20 . 1.20.20 . 01 . 11,Penyediaan barang cetakan dan penggandaan,105000000,
1.20 . 1.20.20 . 01 . 11 . 5 . 2 . 2,Belanja Barang dan Jasa,105000000,
1.20 . 1.20.20 . 01 . 12,Penyediaan komponen instalasi listrik/penerangan bangunan kantor,20986000,
1.20 . 1.20.20 . 01 . 12 . 5 . 2 . 2,Belanja Barang dan Jasa,20986000,
1.20 . 1.20.20 . 01 . 13,Penyediaan peralatan dan perlengkapan kantor,58200000,
1.20 . 1.20.20 . 01 . 13 . 5 . 2 . 1,Belanja Pegawai,2000000,
1.20 . 1.20.20 . 01 . 13 . 5 . 2 . 3,Belanja Modal,56200000,
1.20 . 1.20.20 . 01 . 14,Penyediaan peralatan rumah tangga,40000000,
1.20 . 1.20.20 . 01 . 14 . 5 . 2 . 2,Belanja Barang dan Jasa,40000000,
1.20 . 1.20.20 . 01 . 17,Penyediaan makanan dan minuman,220000000,
1.20 . 1.20.20 . 01 . 17 . 5 . 2 . 2,Belanja Barang dan Jasa,220000000,
1.20 . 1.20.20 . 01 . 18,Rapat-rapat koordinasi dan konsultasi ke luar daerah,130000000,
1.20 . 1.20.20 . 01 . 18 . 5 . 2 . 2,Belanja Barang dan Jasa,130000000,
1.20 . 1.20.20 . 01 . 19,Penyediaan Jasa Tenaga Pendukung Administrasi Perkantoran/Teknis Perkantoran,154600000,
1.20 . 1.20.20 . 01 . 19 . 5 . 2 . 1,Belanja Pegawai,16800000,
1.20 . 1.20.20 . 01 . 19 . 5 . 2 . 2,Belanja Barang dan Jasa,137800000,
1.20 . 1.20.20 . 02,Program Peningkatan Sarana dan Prasarana Aparatur,4363306000,
1.20 . 1.20.20 . 02 . 05,pengadaan Kendaraan dinas/operasional,0,
1.20 . 1.20.20 . 02 . 05 . 5 . 2 . 3,Belanja Modal,0,
