KODE REKENING,URAIAN, JUMLAH ,DASAR HUKUM
1.20 . 1.20.38 . 00 . 00 . 5,BELANJA,16277942685,
1.20 . 1.20.38 . 00 . 00 . 5 . 1,BELANJA TIDAK LANGSUNG,5155559761,
1.20 . 1.20.38 . 00 . 00 . 5 . 1 . 1,Belanja Pegawai,5155559761,PP 12 Tahun 2006 ttg Tunjangan Umum bagi PNS
1.20 . 1.20.38 . 01 . 02 . 5 . 2,BELANJA LANGSUNG,11122382924,
1.20 . 1.20.38 . 01,Program Pelayanan Administrasi Perkantoran,1580178424,
1.20 . 1.20.38 . 01 . 02,Penyediaan jasa komunikasi, sumber daya air dan listrik,160760000,
1.20 . 1.20.38 . 01 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,160760000,
1.20 . 1.20.38 . 01 . 06,Penyediaan jasa pemeliharaan dan perizinan kendaraan dinas/operasional,19200000,
1.20 . 1.20.38 . 01 . 06 . 5 . 2 . 2,Belanja Barang dan Jasa,19200000,
1.20 . 1.20.38 . 01 . 08,Penyediaan jasa kebersihan kantor,182800000,
1.20 . 1.20.38 . 01 . 08 . 5 . 2 . 1,Belanja Pegawai,1800000,
1.20 . 1.20.38 . 01 . 08 . 5 . 2 . 2,Belanja Barang dan Jasa,181000000,
1.20 . 1.20.38 . 01 . 09,Penyediaan jasa perbaikan peralatan kerja,40659000,
1.20 . 1.20.38 . 01 . 09 . 5 . 2 . 2,Belanja Barang dan Jasa,40659000,
1.20 . 1.20.38 . 01 . 10,Penyediaan alat tulis kantor,67713974,
1.20 . 1.20.38 . 01 . 10 . 5 . 2 . 2,Belanja Barang dan Jasa,67713974,
1.20 . 1.20.38 . 01 . 11,Penyediaan barang cetakan dan penggandaan,49064650,
1.20 . 1.20.38 . 01 . 11 . 5 . 2 . 2,Belanja Barang dan Jasa,49064650,
1.20 . 1.20.38 . 01 . 12,Penyediaan komponen instalasi listrik/penerangan bangunan kantor,20000000,
1.20 . 1.20.38 . 01 . 12 . 5 . 2 . 2,Belanja Barang dan Jasa,20000000,
1.20 . 1.20.38 . 01 . 13,Penyediaan peralatan dan perlengkapan kantor,397462000,
1.20 . 1.20.38 . 01 . 13 . 5 . 2 . 2,Belanja Barang dan Jasa,39890000,
1.20 . 1.20.38 . 01 . 13 . 5 . 2 . 3,Belanja Modal,357572000,
1.20 . 1.20.38 . 01 . 15,Penyediaan bahan bacaan dan peraturan perundang-undangan,145390800,
1.20 . 1.20.38 . 01 . 15 . 5 . 2 . 1,Belanja Pegawai,30250000,
1.20 . 1.20.38 . 01 . 15 . 5 . 2 . 2,Belanja Barang dan Jasa,115140800,
1.20 . 1.20.38 . 01 . 17,Penyediaan makanan dan minuman,154328000,
1.20 . 1.20.38 . 01 . 17 . 5 . 2 . 2,Belanja Barang dan Jasa,154328000,
1.20 . 1.20.38 . 01 . 18,Rapat-rapat koordinasi dan konsultasi ke luar daerah,185000000,
1.20 . 1.20.38 . 01 . 18 . 5 . 2 . 2,Belanja Barang dan Jasa,185000000,
1.20 . 1.20.38 . 01 . 20,Penyediaan Jasa Pengamanan Kantor,157800000,
1.20 . 1.20.38 . 01 . 20 . 5 . 2 . 1,Belanja Pegawai,1800000,
1.20 . 1.20.38 . 01 . 20 . 5 . 2 . 2,Belanja Barang dan Jasa,156000000,
