nama_kecamatan,iud,mow,mop,kondom,implant,suntikan,pil
Sukasari,4,0,0,0,0,26,2
Coblong,42,1,0,0,0,3,0
Babakan Ciparay,0,0,0,0,0,7,2
Bojongloa Kaler,15,0,0,0,0,0,20
Andir,9,2,0,0,0,1,0
Cicendo,10,0,0,0,0,42,7
Sukajadi,0,0,0,0,0,0,0
Cidadap,0,0,0,0,0,0,0
Bandung Wetan,42,12,0,0,0,7,0
Astana Anyar,2,0,0,0,0,3,0
Regol,10,0,0,0,0,0,0
Batununggal,4,0,0,0,0,91,8
Lengkong,8,2,0,3,0,9,2
Cibeunying Kidul,0,0,0,0,0,0,0
Bandung Kulon,3,0,0,0,0,40,0
Kiaracondong,11,1,0,0,0,9,1
Bojongloa Kidul,42,7,0,0,1,13,1
Cibeunying Kaler,21,0,0,0,0,30,23
Sumur Bandung,3,2,0,0,0,1,1
Antapani,0,0,0,0,0,0,0
Bandung Kidul,5,0,0,26,1,22,109
Buahbatu,21,3,0,0,0,9,0
Rancasari,23,8,0,0,0,21,17
Arcamanik,0,0,0,0,0,0,0
Cibiru,13,1,0,0,0,0,0
Ujung Berung,0,0,0,0,0,0,0
Gedebage,0,0,0,0,0,0,0
Panyileukan,0,0,0,0,0,0,0
Cinambo,0,0,0,0,0,0,0
Mandalajati,0,0,0,0,0,0,0
