NO.,NAMA ORGANISASI,TAHUN DIDIRIKAN,JUMLAH ANGGOTA,ALAMAT SEKRETARIAT,KELURAHAN,KET
1,LPM,,,KEL. CIPADUNG KULON,CIPADUNG KULON,
2,KARANG TARUNA,,,KEL. CIPADUNG KULON,CIPADUNG KULON,
3,AMS,,,RW. 03,CIPADUNG KULON,
4,FKPM,,,RW. 06,CIPADUNG KULON,
5,BIK,,,RW. 06,CIPADUNG KULON,
6,KIM,,,RW. 09,CIPADUNG KULON,
7,BBC (CABANG),,,RT 03 RW 08,CIPADUNG KULON,
8,MUI,2007,,RT. 01 RW. 05,CIPADUNG WETAN,
9,N U,2010,15,RT. 01 RW. 04,CIPADUNG WETAN,Pengurus
10,Forum Komunikasi Imam dan Khotib,2013,,Jl. AH. Nasution No. 274 Bandung,CIPADUNG WETAN,Ketua Umum
11,KARANG TARUNA,2006,27,Jl. Pamekar Timur XX No. 5,MEKARMULYA,
12,FKPM,2007,31,Jl. Soekarno Hatta No. 819,MEKARMULYA,
13,GIBAS,2007,29,Jl. Mekar Raya/Komplek Panghegar,MEKARMULYA,
14,GAPENSA,2005,96,Jl. Soekarno Hatta No. 819,MEKARMULYA,
15,PKK,2006,37,Jl. Mekar Mulya no. 26,MEKARMULYA,
16,PWRI,2010,38,Jl. Pamekar Timur II No. 21 RT. 02/03,MEKARMULYA,
17,LPRI,2008,-,Jl. Mekarmulya No 36,MEKARMULYA,
18,LLI,2010,-,Jl. Mekarmulya No 36,MEKARMULYA,
19,Karang Taruna,2009,32,Bupa F. 12 No. 31,CIPADUNG KIDUL,
20,PKK,2009,50,Bupa F. 12 No. 31,CIPADUNG KIDUL,
21,PDIP,2011,9,Bupa F 7 No 26,CIPADUNG KIDUL,
22,GOLKAR,2011,9,Bupa  E12 No 28,CIPADUNG KIDUL,
23,PKS,2011,12,Bupa H,CIPADUNG KIDUL,
24,DEMOKRAT,2011,8,Bupa Q,CIPADUNG KIDUL,
25,P 3,2011,10,Bupa D 1 No 4,CIPADUNG KIDUL,
26,GERINDRA,2011,8,Bupa E 8,CIPADUNG KIDUL,
27,BBC-GI,2013,,Bupa Ruko A-2 RT.05/RW.01,CIPADUNG KIDUL,
