kecamatan,kelurahan,Pelindung,Produktif,Ditanam,Hidup,Sumur Resapan,Biopori,Sumber Dana
Sukasari,Isola,27,29,52,47,0,,
Sukasari,Sukarasa,17,26,43,36,0,,
Sukasari,Gegerkalong,4,6,33,26,10,,
Sukasari,Sarijadi,24,21,45,36,0,,
Cidadap,Hegarmanah,,,,,,,
Cidadap,Ciumbuleuit,,,,,,,
Cidadap,Ledeng,,,,,,,
Sukajadi,Pasteur ,9,27,36,33,23,27,
Sukajadi,Cipedes,16,30,46,43,25,30,
Sukajadi,Sukabungah,15,10,25,24,27,25,
Sukajadi,Sukagalih,17,20,37,34,11,32,
Sukajadi,Sukawarna,15,20,35,33,12,28,
Cicendo,Husein Sastranegara,,,,,,,
Cicendo,Arjuna,,,,,,,
Cicendo,Pajajaran,,,,,,,
Cicendo,Pasirkaliki,,,,,,,
Cicendo,Pamoyanan,,,,,,,
Cicendo,Sukaraja,,,,,,,
Andir,Maleber,,,,,,,
Andir,Dungus Cariang,,,,,,,
Andir,Ciroyom,,,,,,,
Andir,Kebon Jeruk,,,,,,,
Andir,Garuda,,,,,,,
Andir,Campaka,,,,,,,
Coblong,Cipaganti,,,,,,,
Coblong,Lebak Gede,,,,,,,
Coblong,Sadang Serang,,,,,,,
Coblong,Dago,,,,,,,
Coblong,Sekeloa,,,,,,,
Coblong,Lebak Siliwangi ,845,739,1584,1580,,,
Bandung Wetan,Cihapit,0,0,0,0,0,0,
Bandung Wetan,Taman Sari,0,0,0,0,0,0,
Bandung Wetan,Citarum,0,0,0,0,0,0,
Sumur Bandung,Braga,,,,,,,
Sumur Bandung,Merdeka,,,,,,,
Sumur Bandung,Kebon Pisang,,,,,,,
Sumur Bandung,Babakan Ciamis,,,,,,,
Cibeunying Kidul,Padasuka,0,0,0,0,0,0,
Cibeunying Kidul,Cikutra,10,40,50,50,0,0,
Cibeunying Kidul,Cicadas,0,30,30,0,0,0,
Cibeunying Kidul,Sukamaju,0,0,0,0,0,0,
Cibeunying Kidul,Sukapada,0,0,0,0,0,0,
Cibeunying Kidul,Pasirlayung,0,0,0,0,0,0,
Cibeunying Kaler,Cihaurgeulis,50,50,100,100,0,21,
Cibeunying Kaler,Sukaluyu,0,0,0,0,0,30,
Cibeunying Kaler,Neglasari,55,44,99,90,0,10,
Cibeunying Kaler,Cigadung,60,35,95,95,0,34,
Astana Anyar,Karasak,,,,,,,
Astana Anyar,Nyengseret,,,,,,,
