NO,NAMA SARANA PENDIDIKAN,STATUS,JUMLAH KEPALA SEKOLAH,JUMLAH GURU TETAP,JUMLAH GURU HONORER,JUMLAH GURU BANTU,JUMLAH GURU KESELURUHAN,JUMLAH MURID LAKI-LAKI,JUMLAH MURID PEREMPUAN,JUMLAH MURID KESELURUHAN,JUMLAH RUANG BELAJAR,JUMLAH ROMBONGAN BELAJAR,ALAMAT
1,SD. Leuwi Anyar 1,Negeri,1,11,2,,14,135,129,264,6,5,Komp. Leuwi Anyar Rw 04 Kel. Situsaeur
2,SD. Leuwi Anyar 2,Negeri,1,11,3,,15,153,124,277,6,5,Komp. Leuwi Anyar Rw 04 Kel. Situsaeur
3,SD. Muhamadiyah 5,Swasta,1,1,14,,16,171,137,308,,10,Jl. L. Panjang RW 07 Kel. Situsaeur
4,SD. Dian Mas,Swasta,1,21,,,22,75,49,124,,6,Komp. MuaraRW 03 Kel. Situsaeur
5,MI. Nurul Huda,Swasta,1,1,12,,14,93,70,163,6,6,Jl. L. Panjang RW 07 Kel. Situsaeur
6,MI. Arroza,Swasta,1,,,,,25,15,40,,,Jl. L. Panjang RW 08 Kel. Situsaeur
7,SD. Bojongloa  1,Negeri,1,5,,15,20,129,131,260,5,6,Jl. Cibaduyut Raya RW 06 Kel Kebonlega
8,SD. Bojongloa  2,Negeri,1,7,3,1,12,127,137,254,5,6,Jl. Cibaduyut Raya RW 06 Kel Kebonlega
9,SD. Bojongloa  3,Negeri,1,8,,2,10,132,123,255,5,6,Jl. Cibaduyut Raya RW 06 Kel Kebonlega
10,SD. Bojongloa  4,Negeri,1,7,,1,8,120,92,212,5,6,Jl. Cibaduyut Raya RW 06 Kel Kebonlega
11,SD. Bojongloa  6,Negeri,1,9,,,10,114,124,238,5,6,Jl. Cibaduyut Raya RW 06 Kel Kebonlega
12,SD. Leuwi Panjang  1 ,Negeri,1,23,6,,30,250,226,476,12,11,Jl. Muara Sari 1 RW 02 Kel.Kebonlega
13,SD. Leuwi Panjang  2,Negeri,1,19,6,,26,244,246,490,12,11,Jl. Muara Sari 1 RW 02 Kel.Kebonlega
14,SD. Albasyariah,Swasta,1,34,,,34,436,357,793,15,22,Jl. Sauyunan Rw 07 Kel. Kebonlega
15,SD. Bintang Mulia,Swasta,1,,18,3,22,233,191,242,3,18,Komp. Mekarwangi Kel. Kebonlega
16,MI. Al Huda,Swasta,1,,11,,14,67,76,143,5,6,Jl. Kebonlega II RW.01 Kel. Kebonlega
17,MI. Adimyanti/ Sirnamiskin,Swasta,1,,,,,134,125,259,,,Pontren Sirnamiskin Rw 07 Kel. Kebonlega
18,MI. Al. Gozali,Swasta,1,2,9,,12,127,83,210,4,6,Cibintinu RW 05Kel. Kebonlega
19,SD. Bojongloa  5,Negeri,1,6,3,,10,132,124,256,5,6,Jl. Cibaduyut Raya RW 01 Kel Cibaduyut
20,SD. Cibaduyut  1,Negeri,1,6,8,,16,158,162,320,7,8,Gg Ma Maja RW 06 Kel. Cibaduyut
21,SD. Cibaduyut  2,Negeri,1,8,5,,14,131,115,246,6,6,Gg Ma Maja RW 06 Kel. Cibaduyut
22,SD. Cibaduyut  3,Negeri,1,7,4,,12,155,130,285,6,7,Gg Ma Maja RW 06 Kel. Cibaduyut
23,SD. Cibaduyut  5,Negeri,1,6,-,,6,166,183,349,,,Gg Ma Maja RW 06 Kel. Cibaduyut
24,SD. Cibaduyut  6,Negeri,1,7,6,,14,107,114,221,6,6,Gg Ma Maja RW 05 Kel. Cibaduyut
25,SD. Cibaduyut  4,Negeri,1,9,3,,13,139,138,277,7,7,Jl. Prambanan Blok O Rt 03/02 Kel Cibaduyut Kidul
26,SD. Cangkuang 3,Negeri,1,11,4,,16,134,185,319,8,8,Ciparay Tengah RW 06 Kel. Cibaduyut Kidul
27,SD. Cangkuang 14,Negeri,1,6,4,,11,146,167,313,7,8,Ciparay Tengah RW 06 Kel. Cibaduyut Kidul
28,SD. Budisastra,Swasta,1,,19,,20,118,112,230,3,8,Warna Cinta RW 03 Kel. Mekarwangi
29,SD. Bunga Hati,Swasta,1,4,5,,10,14,19,33,3,2,Jl. M. Sederhana RW 05 Kel. Mekarwangi
30,SD. BPK Penabur,Swasta,1,16,5,,22,28,32,60,9,1,Jl. Indra Prahasta Timur No 1
31,MI. Saepul Hikmah,Swasta,1,,5,,6,63,71,134,2,3,Kebon Kalapa RW 02 Kel. Mekarwangi
32,SD. Sinar Bunga Hati,Swasta,1,4,5,,10,27,19,46,3,5,Jl. Mekar Kencana RW 05 Kel.Mekarwangi
