KODE REKENING,URAIAN,JUMLAH,DASAR HUKUM
1.20 . 1.20.07 . 00 . 00 . 5,BELANJA,28386572608,
1.20 . 1.20.07 . 00 . 00 . 5 . 1,BELANJA TIDAK LANGSUNG,9991899511,
1.20 . 1.20.07 . 00 . 00 . 5 . 1 . 1,Belanja Pegawai,9991899511,PP 12 Tahun 2006 ttg Tunjangan Umum bagi PNS
1.20 . 1.20.07 . 01 . 01 . 5 . 2,BELANJA LANGSUNG,18394673097,
1.20 . 1.20.07 . 01,Program Pelayanan Administrasi Perkantoran,2311350000,
1.20 . 1.20.07 . 01 . 01,Penyediaan jasa surat menyurat,6000000,
1.20 . 1.20.07 . 01 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,6000000,
1.20 . 1.20.07 . 01 . 02,Penyediaan jasa komunikasi sumber daya air dan listrik,144050000,
1.20 . 1.20.07 . 01 . 02 . 5 . 2 . 1,Belanja Pegawai,2400000,
1.20 . 1.20.07 . 01 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,141650000,
1.20 . 1.20.07 . 01 . 03,Penyediaan jasa peralatan dan perlengkapan kantor,130000000,
1.20 . 1.20.07 . 01 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,130000000,
1.20 . 1.20.07 . 01 . 06,Penyediaan jasa pemeliharaan dan perizinan kendaraan dinas/operasional,30000000,
1.20 . 1.20.07 . 01 . 06 . 5 . 2 . 2,Belanja Barang dan Jasa,30000000,
1.20 . 1.20.07 . 01 . 08,Penyediaan jasa kebersihan kantor,204150000,
1.20 . 1.20.07 . 01 . 08 . 5 . 2 . 1,Belanja Pegawai,4150000,
1.20 . 1.20.07 . 01 . 08 . 5 . 2 . 2,Belanja Barang dan Jasa,200000000,
1.20 . 1.20.07 . 01 . 09,Penyediaan jasa perbaikan peralatan kerja,30000000,
1.20 . 1.20.07 . 01 . 09 . 5 . 2 . 2,Belanja Barang dan Jasa,30000000,
1.20 . 1.20.07 . 01 . 10,Penyediaan alat tulis kantor,196000000,
1.20 . 1.20.07 . 01 . 10 . 5 . 2 . 1,Belanja Pegawai,6000000,
1.20 . 1.20.07 . 01 . 10 . 5 . 2 . 2,Belanja Barang dan Jasa,190000000,
1.20 . 1.20.07 . 01 . 11,Penyediaan barang cetakan dan penggandaan,148800000,
1.20 . 1.20.07 . 01 . 11 . 5 . 2 . 1,Belanja Pegawai,4800000,
1.20 . 1.20.07 . 01 . 11 . 5 . 2 . 2,Belanja Barang dan Jasa,144000000,
1.20 . 1.20.07 . 01 . 12,Penyediaan komponen instalasi listrik/penerangan bangunan kantor,31050000,
1.20 . 1.20.07 . 01 . 12 . 5 . 2 . 1,Belanja Pegawai,1050000,
1.20 . 1.20.07 . 01 . 12 . 5 . 2 . 2,Belanja Barang dan Jasa,30000000,
1.20 . 1.20.07 . 01 . 13,Penyediaan peralatan dan perlengkapan kantor,437100000,
1.20 . 1.20.07 . 01 . 13 . 5 . 2 . 1,Belanja Pegawai,18000000,
1.20 . 1.20.07 . 01 . 13 . 5 . 2 . 3,Belanja Modal,419100000,
1.20 . 1.20.07 . 01 . 14,Penyediaan peralatan rumah tangga,41050000,
1.20 . 1.20.07 . 01 . 14 . 5 . 2 . 1,Belanja Pegawai,1050000,
1.20 . 1.20.07 . 01 . 14 . 5 . 2 . 2,Belanja Barang dan Jasa,40000000,
1.20 . 1.20.07 . 01 . 15,Penyediaan bahan bacaan dan peraturan perundang-undangan,191050000,
1.20 . 1.20.07 . 01 . 15 . 5 . 2 . 1,Belanja Pegawai,1050000,
1.20 . 1.20.07 . 01 . 15 . 5 . 2 . 2,Belanja Barang dan Jasa,180000000,
1.20 . 1.20.07 . 01 . 15 . 5 . 2 . 3,Belanja Modal,10000000,
1.20 . 1.20.07 . 01 . 17,Penyediaan makanan dan minuman,242100000,
1.20 . 1.20.07 . 01 . 17 . 5 . 2 . 1,Belanja Pegawai,2100000,
1.20 . 1.20.07 . 01 . 17 . 5 . 2 . 2,Belanja Barang dan Jasa,240000000,
1.20 . 1.20.07 . 01 . 18,Rapat-rapat koordinasi dan konsultasi ke luar daerah,480000000,
1.20 . 1.20.07 . 01 . 18 . 5 . 2 . 2,Belanja Barang dan Jasa,480000000,
1.20 . 1.20.07 . 02,Program Peningkatan Sarana dan Prasarana Aparatur,965075000,
1.20 . 1.20.07 . 02 . 07,Pengadaan perlengkapan gedung kantor,62400000,
1.20 . 1.20.07 . 02 . 07 . 5 . 2 . 1,Belanja Pegawai,2400000,
1.20 . 1.20.07 . 02 . 07 . 5 . 2 . 2,Belanja Barang dan Jasa,60000000,
1.20 . 1.20.07 . 02 . 10,Pengadaan mebeleur,100000000,
1.20 . 1.20.07 . 02 . 10 . 5 . 2 . 1,Belanja Pegawai,5000000,
1.20 . 1.20.07 . 02 . 10 . 5 . 2 . 3,Belanja Modal,95000000,
1.20 . 1.20.07 . 02 . 22,Pemeliharaan rutin/berkala gedung kantor,200000000,
1.20 . 1.20.07 . 02 . 22 . 5 . 2 . 1,Belanja Pegawai,3125000,
1.20 . 1.20.07 . 02 . 22 . 5 . 2 . 2,Belanja Barang dan Jasa,196875000,
1.20 . 1.20.07 . 02 . 24,Pemeliharaan rutin/berkala kendaraan dinas/operasional,602675000,
1.20 . 1.20.07 . 02 . 24 . 5 . 2 . 1,Belanja Pegawai,7675000,
1.20 . 1.20.07 . 02 . 24 . 5 . 2 . 2,Belanja Barang dan Jasa,595000000,
1.20 . 1.20.07 . 03,Program peningkatan disiplin aparatur,179400000,
1.20 . 1.20.07 . 03 . 02,Pengadaan pakaian dinas beserta perlengkapannya,36700000,
1.20 . 1.20.07 . 03 . 02 . 5 . 2 . 1,Belanja Pegawai,1700000,
1.20 . 1.20.07 . 03 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,35000000,
1.20 . 1.20.07 . 03 . 05,Pengadaan pakaian khusus hari-hari tertentu,142700000,
1.20 . 1.20.07 . 03 . 05 . 5 . 2 . 1,Belanja Pegawai,1700000,
1.20 . 1.20.07 . 03 . 05 . 5 . 2 . 2,Belanja Barang dan Jasa,141000000,
1.20 . 1.20.07 . 05,Program Peningkatan Kapasitas Sumber Daya Aparatur,509100000,
1.20 . 1.20.07 . 05 . 01,Pendidikan dan pelatihan formal,130800000,
1.20 . 1.20.07 . 05 . 01 . 5 . 2 . 1,Belanja Pegawai,5800000,
1.20 . 1.20.07 . 05 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,125000000,
1.20 . 1.20.07 . 05 . 02,Sosialisasi peraturan perundang-undangan,78300000,
1.20 . 1.20.07 . 05 . 02 . 5 . 2 . 1,Belanja Pegawai,9600000,
1.20 . 1.20.07 . 05 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,68700000,
