nama_kecamatan,iud,mow,mop,kondom,implant,suntikan,pil
Sukasari,24,0,0,0,2,11,1
Coblong,10,0,0,0,0,8,1
Babakan Ciparay,1,0,0,0,0,9,5
Bojongloa Kaler,10,0,0,0,0,1,10
Andir,10,10,0,0,0,4,2
Cicendo,12,0,0,0,0,35,4
Sukajadi,14,0,0,5,1,30,7
Cidadap,0,0,0,0,0,0,0
Bandung Wetan,5,2,0,0,0,11,2
Astana Anyar,0,0,0,0,0,0,0
Regol,0,0,0,0,0,14,0
Batununggal,6,0,0,0,0,54,5
Lengkong,4,2,0,2,0,10,1
Cibeunying Kidul,0,0,0,0,0,0,0
Bandung Kulon,0,0,0,0,0,25,1
Kiaracondong,14,2,0,1,0,26,4
Bojongloa Kidul,20,10,0,0,4,10,0
Cibeunying Kaler,27,1,0,0,0,5,0
Sumur Bandung,2,0,0,0,0,5,0
Antapani,2,0,0,0,0,0,0
Bandung Kidul,4,0,0,48,1,21,0
Buahbatu,18,4,0,0,0,22,0
Rancasari,12,2,0,3,0,10,2
Arcamanik,0,0,0,0,0,0,0
Cibiru,8,0,0,0,0,0,0
Ujung Berung,0,0,0,0,0,0,0
Gedebage,0,0,0,0,0,0,0
Panyileukan,0,0,0,0,0,0,0
Cinambo,0,0,0,0,0,0,0
Mandalajati,0,0,0,0,0,0,0
