KODE REKENING,URAIAN,JUMLAH,DASAR HUKUM
1.20 . 1.20.06 . 00 . 00 . 4,PENDAPATAN,3740629232638,
1.20 . 1.20.06 . 00 . 00 . 4 . 1,PENDAPATAN ASLI DAERAH,136291488000,
1.20 . 1.20.06 . 00 . 00 . 4 . 1 . 3,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,20000000000,
1.20 . 1.20.06 . 00 . 00 . 4 . 1 . 4,Lain-lain Pendapatan Asli Daerah yang Sah,116291488000,
1.20 . 1.20.06 . 00 . 00 . 4 . 2,DANA PERIMBANGAN,2802754414240,
1.20 . 1.20.06 . 00 . 00 . 4 . 2 . 1,Bagi Hasil Pajak/Bagi Hasil Bukan Pajak,291171316000,
1.20 . 1.20.06 . 00 . 00 . 4 . 2 . 2,Dana Alokasi Umum,1672456589000,
1.20 . 1.20.06 . 00 . 00 . 4 . 2 . 3,Dana Alokasi Khusus,839126509240,
1.20 . 1.20.06 . 00 . 00 . 4 . 3,LAIN-LAIN PENDAPATAN DAERAH YANG SAH,801583330398,
1.20 . 1.20.06 . 00 . 00 . 4 . 3 . 1,Pendapatan Hibah,15500000000,
1.20 . 1.20.06 . 00 . 00 . 4 . 3 . 3,Dana Bagi Hasil Pajak dari Provinsi dan Pemerintah Daerah Lainnya,744980302398,
1.20 . 1.20.06 . 00 . 00 . 4 . 3 . 4,Dana Penyesuaian dan Otonomi Khusus,0,
1.20 . 1.20.06 . 00 . 00 . 4 . 3 . 5,Bantuan Keuangan dari Provinsi atau Pemerintah Daerah Lainnya,41103028000,
1.20 . 1.20.06 . 00 . 00 . 5,BELANJA,331708842722,
1.20 . 1.20.06 . 00 . 00 . 5 . 1,BELANJA TIDAK LANGSUNG,331708842722,
1.20 . 1.20.06 . 00 . 00 . 5 . 1 . 1,Belanja Pegawai,34557556300,
1.20 . 1.20.06 . 00 . 00 . 5 . 1 . 3,Belanja Subsidi,130336000000,
1.20 . 1.20.06 . 00 . 00 . 5 . 1 . 4,Belanja Hibah,138558717000,
1.20 . 1.20.06 . 00 . 00 . 5 . 1 . 7,Belanja Bantuan Keuangan kepada Provinsi/Kabupaten/Kota dan Pemerintahan Desa,1000000000,
1.20 . 1.20.06 . 00 . 00 . 5 . 1 . 8,Belanja Tidak Terduga,27256569422,
,SURPLUS / (DEFISIT),3408920389916,
1.20 . 1.20.06 . 00 . 00 . 6,PEMBIAYAAN DAERAH,,
1.20 . 1.20.06 . 00 . 00 . 6 . 1,PENERIMAAN PEMBIAYAAN DAERAH,859066038384,
1.20 . 1.20.06 . 00 . 00 . 6 . 1 . 1,Sisa Lebih Perhitungan Anggaran Tahun Anggaran Sebelumnya,859066038384,
,PEMBIAYAAN NETTO,859066038384,
