NO,NAMA TK/TKQ,JUMLAH GURU,JUMLAH MURID,JUMLAH RUANG/ KELAS,STATUS,ALAMAT,KELURAHAN,KET
1,PUTRA KARYA,4,49,3,Swasta,Jl. Pamekar Raya No.91-93 Rt. 03/01/ RW. 04,Mekarmulya,Bangunan milik sendiri
2,VALDA,3,25,2,Swasta,Jl. Pamekar Tumur II No.35 Tlp.7806233/76354266 / RW.03,Mekarmulya,Bangunan Milik sendiri
3,AL AMANAH,8,80,3,Swasta,Jl.. Mekarmulya No. 1/ RW. 01,Mekarmulya,Milik Sendiri
4,BEYNA CERIA,4,25,3,Swasta,Jl. Pamekar Timur III No. 12/ RW. 03,Mekarmulya,Milik Sendiri
5,TKQ AL MUHAZIRIN,2,17,2,Swasta,Jl. Pamekar Barat IVX. / RW. 04,Mekarmulya,Hibah dari PT. ISPEK
6,Nurul Iman,4,30,3,Swasta,TCI Blok G RT 01/01,Cipadung Kidul,
7,Al Muhajir,5,47,3,Swasta,Bupa RT 02/02,Cipadung Kidul,
8,Siti Hajar,10,86,3,Swasta,Jl. Raya Panyileukan,Cipadung Kidul,
9,Bani Saleh,3,7,2,Swasta,Bupa B. 2 RT 01/02,Cipadung Kidul,
10,Dwi Lestari,5,12,3,Swasta,Bupa C. 2 No. 9,Cipadung Kidul,
11,Al Hasan,8,33,3,Swasta,Bupa G. 1 RT 01/06,Cipadung Kidul,
12,Riung Putra,4,25,3,Swasta,Bupa F. 9 RT 05/05,Cipadung Kidul,
13,Nur Kusumah,5,78,4,Swasta,Bupa J. 2 RT 02 RW 09,Cipadung Kidul,
14,Al Wafi,7,60,4,Swasta,Bupa K. 8 No. 29,Cipadung Kidul,
15,Nurul Aliyah,3,12,2,Swasta,Jl. Anyelir RW 12,Cipadung Kidul,
16,Al-Dagifa,3,25,2,Swasta,Jl.Melati RW.12,Cipadung Kidul,
17,AL HIKMAH,3,26,2,Swasta,JL. SINDANG SARI IV,Cipadung kulon,RW 03
18,SEJAHTERA,4,15,1,Swasta,JL. PAKUAN IV NO 6,Cipadung kulon,RW 08
19,CENDIKIA,2,11,3,Swasta,KOMP. BUMI ASRI,Cipadung kulon,RW 06 
20,AL AMIN,3,19,1,Swasta,JL. PAMITRAN I,Cipadung kulon,RW 09
21,AL IKHLAS,5,33,3,DKM,JL. PADEPOKAN,Cipadung kulon,RW 09
22,NURLAELA,2,6,1,Swasta,JL. PAMITRAN IV,Cipadung kulon,RW 09
23,TKQ MIFTAHUL JANNAH,3,29,2,DKM,JL. PASANGGRAHAN,Cipadung kulon,RW 10
24,Daarus Sholihin,3,20,1,Swasta,Pangaritan  01 /05,Cipadung Wetan,
25,Bunga Bangsa,5,32,2,Swasta,Pangaritan  03 /05,Cipadung Wetan,
