KODE REKENING,URAIAN,JUMLAH,DASAR HUKUM
1.20 . 1.20.18 . 00 . 00 . 5,BELANJA,27426407389,
1.20 . 1.20.18 . 00 . 00 . 5 . 1,BELANJA TIDAK LANGSUNG,6189415760,
1.20 . 1.20.18 . 00 . 00 . 5 . 1 . 1,Belanja Pegawai,6189415760,PP 12 Tahun 2006 ttg Tunjangan Umum bagi PNS
1.20 . 1.20.18 . 01 . 02 . 5 . 2,BELANJA LANGSUNG,21236991629,
1.20 . 1.20.18 . 01,Program Pelayanan Administrasi Perkantoran,2174964000,
1.20 . 1.20.18 . 01 . 02,Penyediaan jasa komunikasi sumber daya air dan listrik,156900000,
1.20 . 1.20.18 . 01 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,156900000,
1.20 . 1.20.18 . 01 . 06,Penyediaan jasa pemeliharaan dan perizinan kendaraan dinas/operasional,53100000,
1.20 . 1.20.18 . 01 . 06 . 5 . 2 . 2,Belanja Barang dan Jasa,53100000,
1.20 . 1.20.18 . 01 . 08,Penyediaan jasa kebersihan kantor,214535000,
1.20 . 1.20.18 . 01 . 08 . 5 . 2 . 2,Belanja Barang dan Jasa,214535000,
1.20 . 1.20.18 . 01 . 09,Penyediaan jasa perbaikan peralatan kerja,36404000,
1.20 . 1.20.18 . 01 . 09 . 5 . 2 . 2,Belanja Barang dan Jasa,36404000,
1.20 . 1.20.18 . 01 . 10,Penyediaan alat tulis kantor,47536000,
1.20 . 1.20.18 . 01 . 10 . 5 . 2 . 2,Belanja Barang dan Jasa,47536000,
1.20 . 1.20.18 . 01 . 11,Penyediaan barang cetakan dan penggandaan,22770000,
1.20 . 1.20.18 . 01 . 11 . 5 . 2 . 2,Belanja Barang dan Jasa,22770000,
1.20 . 1.20.18 . 01 . 12,Penyediaan komponen instalasi listrik/penerangan bangunan kantor,18664000,
1.20 . 1.20.18 . 01 . 13,Penyediaan peralatan dan perlengkapan kantor,968700000,
1.20 . 1.20.18 . 01 . 13 . 5 . 2 . 2,Belanja Barang dan Jasa,68500000,
1.20 . 1.20.18 . 01 . 13 . 5 . 2 . 3,Belanja Modal,900200000,
1.20 . 1.20.18 . 01 . 14,Penyediaan peralatan rumah tangga,14095000,
1.20 . 1.20.18 . 01 . 14 . 5 . 2 . 2,Belanja Barang dan Jasa,7695000,
1.20 . 1.20.18 . 01 . 14 . 5 . 2 . 3,Belanja Modal,6400000,
1.20 . 1.20.18 . 01 . 15,Penyediaan bahan bacaan dan peraturan perundang-undangan,113680000,
1.20 . 1.20.18 . 01 . 15 . 5 . 2 . 2,Belanja Barang dan Jasa,113680000,
1.20 . 1.20.18 . 01 . 17,Penyediaan makanan dan minuman,30030000,
1.20 . 1.20.18 . 01 . 17 . 5 . 2 . 2,Belanja Barang dan Jasa,30030000,
1.20 . 1.20.18 . 01 . 18,Rapat-rapat koordinasi dan konsultasi ke luar daerah,498550000,
1.20 . 1.20.18 . 01 . 18 . 5 . 2 . 2,Belanja Barang dan Jasa,498550000,
1.20 . 1.20.18 . 02,Program Peningkatan Sarana dan Prasarana Aparatur,1450753000,
1.20 . 1.20.18 . 02 . 05,pengadaan Kendaraan dinas/operasional,145100000,
1.20 . 1.20.18 . 02 . 05 . 5 . 2 . 3,Belanja Modal,145100000,
1.20 . 1.20.18 . 02 . 10,Pengadaan mebeleur,103650000,
1.20 . 1.20.18 . 02 . 10 . 5 . 2 . 3,Belanja Modal,103650000,
1.20 . 1.20.18 . 02 . 12,Pengadaan Perlengkapan Peralatan Aparatur,347995000,
1.20 . 1.20.18 . 02 . 12 . 5 . 2 . 2,Belanja Barang dan Jasa,1900000,
1.20 . 1.20.18 . 02 . 12 . 5 . 2 . 3,Belanja Modal,346095000,
1.20 . 1.20.18 . 02 . 22,Pemeliharaan rutin/berkala gedung kantor,62310000,
1.20 . 1.20.18 . 02 . 22 . 5 . 2 . 2,Belanja Barang dan Jasa,62310000,
1.20 . 1.20.18 . 02 . 24,Pemeliharaan rutin/berkala kendaraan dinas/operasional,529048000,
1.20 . 1.20.18 . 02 . 24 . 5 . 2 . 2,Belanja Barang dan Jasa,529048000,
1.20 . 1.20.18 . 02 . 42,Rehabilitasi sedang/berat gedung kantor,262650000,
1.20 . 1.20.18 . 02 . 42 . 5 . 2 . 3,Belanja Modal,262650000,
1.20 . 1.20.18 . 03,Program peningkatan disiplin aparatur,100647500,
1.20 . 1.20.18 . 03 . 05,Pengadaan pakaian khusus hari-hari tertentu,100647500,
1.20 . 1.20.18 . 03 . 05 . 5 . 2 . 2,Belanja Barang dan Jasa,100647500,
1.20 . 1.20.18 . 05,Program Peningkatan Kapasitas Sumber Daya Aparatur,172345000,
1.20 . 1.20.18 . 05 . 04,Pembinaan Kinerja Aparatur,172345000,
1.20 . 1.20.18 . 05 . 04 . 5 . 2 . 1,Belanja Pegawai,15450000,
1.20 . 1.20.18 . 05 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,156895000,
1.20 . 1.20.18 . 06,Program peningkatan pengembangan sistem pelaporan capaian kinerja dan keuangan,105472000,
1.20 . 1.20.18 . 06 . 01,Penyusunan laporan capaian kinerja dan ikhtisar realisasi kinerja SKPD,92642000,
1.20 . 1.20.18 . 06 . 01 . 5 . 2 . 1,Belanja Pegawai,33492000,
1.20 . 1.20.18 . 06 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,59150000,
1.20 . 1.20.18 . 06 . 02,Penyusunan pelaporan keuangan semesteran,2995000,
1.20 . 1.20.18 . 06 . 02 . 5 . 2 . 1,Belanja Pegawai,2575000,
