kecamatan,kelurahan,Pelindung,Produktif,Ditanam,Hidup,Sumur Resapan,Biopori,Sumber Dana
Sukasari,Isola,16,12,28,24,0,1,0
Sukasari,Sukarasa,8,7,17,15,0,,0
Sukasari,Gegerkalong,4,2,6,5,0,,0
Sukasari,Sarijadi,18,24,42,37,0,1,0
Cidadap,Hegarmanah,8996,3463,,,,,0
Cidadap,Ciumbuleuit,138639,73288,,,,,0
Cidadap,Ledeng,3259,2060,,,,,0
Sukajadi,Pasteur ,20,30,50,48,23,32,0
Sukajadi,Cipedes,20,14,34,32,25,37,0
Sukajadi,Sukabungah,10,10,20,20,13,25,0
Sukajadi,Sukagalih,15,20,35,33,17,71,0
Sukajadi,Sukawarna,8,24,32,28,14,42,0
Cicendo,Husein Sastranegara,657,275,892,632,23,32,0
Cicendo,Arjuna,215,101,275,201,14,7,0
Cicendo,Pajajaran,138,131,269,226,13,13,0
Cicendo,Pasirkaliki,72,45,117,105,30,18,0
Cicendo,Pamoyanan,103,115,218,184,4,25,0
Cicendo,Sukaraja,134,162,305,289,4,55,0
Andir,Maleber,,,,,,,0
Andir,Dungus Cariang,,,,,,,0
Andir,Ciroyom,,,,,,,0
Andir,Kebon Jeruk,,,,,,,0
Andir,Garuda,,,,,,,0
Andir,Campaka,,,,,,,0
Coblong,Cipaganti,,,,,,,0
Coblong,Lebak Gede,,,,,,,0
Coblong,Sadang Serang,,,,,,,0
Coblong,Dago,,,,,,,0
Coblong,Sekeloa,,,,,,,0
Coblong,Lebak Siliwangi ,670,620,1290,1285,279,,0
Bandung Wetan,Cihapit,1814,306,0,0,178,175,0
Bandung Wetan,Taman Sari,520,225,0,0,156,220,0
Bandung Wetan,Citarum,382,350,0,0,145,3048,0
Sumur Bandung,Braga,,,,,,,0
Sumur Bandung,Merdeka,,,,,,,0
Sumur Bandung,Kebon Pisang,,,,,,,0
Sumur Bandung,Babakan Ciamis,,,,,,,0
Cibeunying Kidul,Padasuka,0,0,0,0,0,0,0
Cibeunying Kidul,Cikutra,0,0,0,0,0,0,0
Cibeunying Kidul,Cicadas,0,0,0,0,0,0,0
Cibeunying Kidul,Sukamaju,0,0,0,0,0,0,0
Cibeunying Kidul,Sukapada,20,70,90,90,0,0,0
Cibeunying Kidul,Pasirlayung,10,90,100,100,0,0,0
Cibeunying Kaler,Cihaurgeulis,100,0,100,100,0,24,0
Cibeunying Kaler,Sukaluyu,151,0,151,151,0,0,0
Cibeunying Kaler,Neglasari,125,0,125,125,5,10,0
Cibeunying Kaler,Cigadung,650,36,686,686,5,45,0
Astana Anyar,Karasak,,,,,,,0
Astana Anyar,Nyengseret,,,,,,,0
Astana Anyar,Karang Anyar,,,,,,,0
Astana Anyar,Panjunan,,,,,,,0
Astana Anyar,Cibadak,,,,,,,0
Astana Anyar,Pelindung Hewan,,,,,,,0
Bojongloa Kaler,Kopo,0,0,0,0,0,0,0
Bojongloa Kaler,Babakan Tarogong,0,0,0,0,0,0,0
Bojongloa Kaler,Jamika,0,0,0,0,0,0,0
Bojongloa Kaler,Babakan Asih,0,0,0,0,0,0,0
Bojongloa Kaler,Suka Asih,0,0,0,0,0,0,0
Bojongloa Kidul,Situsaeur,49,66,115,115,83,250,0
Bojongloa Kidul,Kebon Lega,250,104,354,354,11,120,0
Bojongloa Kidul,Cibaduyut,45,39,84,84,16,60,0
Bojongloa Kidul,Cibaduyut Kidul,58,65,123,123,29,52,0
Bojongloa Kidul,Cibuduyut Wetan,66,250,316,316,8,40,0
Bojongloa Kidul,Mekar Wangi,120,80,200,200,25,50,0
Babakan Ciparay,Babakan,,,,,,,0
Babakan Ciparay,Babakan Ciparay,,,,,,,0
Babakan Ciparay,Sukahaji,,,,,,,0
Babakan Ciparay,Margahayu Utara,,,,,,,0
Babakan Ciparay,Margasuka,,,,,,,0
Babakan Ciparay,Cirangrang,,,,,,,0
Bandung Kulon,Warung Muncang,5,5,10,10,42,356,0
Bandung Kulon,Cijerah,5,15,20,20,84,479,0
Bandung Kulon,Cibuntu,5,10,15,14,72,572,0
Bandung Kulon,Caringin,4,12,16,16,36,295,0
Bandung Kulon,Cigondewah Kaler,5,5,10,9,57,354,0
Bandung Kulon,Cigondewah Kidul,5,10,15,12,39,285,0
Bandung Kulon,Cigondewah Rahayu,5,10,15,15,68,294,0
Bandung Kulon,Gempolsari,2,6,8,7,63,382,0
Regol,Pasirluyu ,390,47,437,430,16,,0
Regol,Ciseureuh ,0,247,247,247,,,0
Regol,Cigareleng,0,247,247,247,,,0
Regol,Ancol ,0,47,47,47,,,0
Regol,Pungkur,0,47,47,47,,,0
Regol,Ciateul,0,247,247,247,,,0
Regol,Balong Gede ,9,47,56,56,,,0
Lengkong,Malabar,,,,,,,0
Lengkong,Turangga,,,,,,,0
Lengkong,Lingkar Selatan,,,,,,,0
Lengkong,Cijagra,,,,,,,0
Lengkong,Burangrang,,,,,,,0
Lengkong,Paledang,,,,,,,0
Lengkong,Cikawao,,,,,,,0
Batununggal,Kebon Waru,47,56,171,171,1,20,0
Batununggal,Kacapiring,11,1,12,11,3,54,0
Batununggal,Gumuruh,15,39,12,10,4,96,0
Batununggal,Kebon Gedang,4,7,9,8,3,5,0
Batununggal,Samoja,0,0,0,0,4,7,0
Batununggal,Cibangkong,14,20,11,10,5,54,0
Batununggal,Maleer,34,7,40,34,4,9,0
Batununggal,Binong,9,2,9,8,3,68,0
Ujungberung,Pasir Endah,50,180,210,200,,,0
Ujungberung,Cigending,50,175,225,205,,,0
Ujungberung,Pasir Wangi,415,500,900,820,29,13,0
Ujungberung,Pasirjati,500,500,1000,0,0,0,0
Ujungberung,Pasanggrahan,60,462,525,525,0,0,0
Kiaracondong,Sukapura,0,2,2,2,0,0,0
Kiaracondong,Kebon Jayanti,23,118,41,39,0,0,0
Kiaracondong,Babakan Surabaya,0,0,0,0,0,0,0
Kiaracondong,Cicaheum,20,7,27,17,2,0,0
Kiaracondong,Babakan Sari,18,6,24,24,0,0,0
Kiaracondong,Kebun Kangkung,2,5,7,5,0,0,0
Arcamanik,Sukamiskin,50,50,50,50,50,0,0
Arcamanik,Cisaranten Bina Harapan,50,50,50,50,50,0,0
Arcamanik,Cisaranten Endah,50,50,50,50,50,0,0
Arcamanik,Cisaranten Kulon,50,50,50,50,50,0,0
Cibiru,Palasari,950,2200,0,0,62,157,0
Cibiru,Cipadung,72,121,0,0,16,60,0
Cibiru,Pasir Biru,300,0,0,0,16,50,0
Cibiru,Cisurupan (+lain2),1015,20420,0,0,16,80,0
Antapani,Antapani Kulon,0,0,0,0,0,0,0
Antapani,Antapani Wetan,0,0,0,0,0,0,0
Antapani,Antapani Tengah,0,0,0,0,0,37,0
Antapani,Antapani Kidul,0,0,0,0,0,33,0
Rancasari,Cipamokolan,18,18,36,36,9,32,0
Rancasari,Derwati,10,5,15,15,5,22,0
Rancasari,Manjahlega,30,29,59,59,63,45,0
Rancasari,Mekar Jaya,25,20,45,45,5,26,0
Buahbatu,Sekejati,250,1250,1500,1500,120,101,0
Buahbatu,Margasari,,,,,,,0
Buahbatu,Cijaura,,,,,,,0
Buahbatu,Jati Sari,,,,,,,0
Bandung Kidul,Batununggal,13,6,19,19,1,20,0
Bandung Kidul,Kujangsari,14,6,20,20,1,10,0
Bandung Kidul,Mengger,16,5,21,21,1,8,0
Bandung Kidul,Wates,17,5,22,22,1,7,0
Gedebage,Rancabolang,,,,,,,0
Gedebage,Cimencrang,,,,,,,0
Gedebage,Cisaranten Kidul,,,,,,,0
Gedebage,Rancanumpang,,,,,,,0
Panyileukan,Cipadung Kidul,231,220,451,0,0,0,0
Panyileukan,Mekar Mulya ,0,0,0,0,0,0,0
Panyileukan,Cipadung Wetan,8,13,19,19,0,0,0
Panyileukan,Cipadung Kulon,27,19,46,40,3,25,0
Cinambo,Pakemitan,,,,,,,0
Cinambo,Sukamulya,,,,,,,0
Cinambo,Cisaranten Wetan,,,,,,,0
Cinambo,Babakan Penghulu,,,,,,,0
Mandalajati,Jatihandap,,100,100,,,,0
