kecamatan,kelurahan,Pelindung,Produktif,Ditanam,Hidup,Sumur Resapan,Biopori,Sumber Dana
Sukasari,Isola,11,17,28,26,0,1,
Sukasari,Sukarasa,42,41,54,116,90,2,
Sukasari,Gegerkalong,12,8,9,6,0,,
Sukasari,Sarijadi,14,19,33,25,0,,
Cidadap,Hegarmanah,,,,,,,
Cidadap,Ciumbuleuit,,,,,,,
Cidadap,Ledeng,,,,,,,
Sukajadi,Pasteur ,4,11,15,15,0,8,
Sukajadi,Cipedes,7,20,27,26,0,20,
Sukajadi,Sukabungah,5,5,10,10,27,11,
Sukajadi,Sukagalih,9,20,29,27,12,16,
Sukajadi,Sukawarna,7,20,27,26,56,12,
Cicendo,Husein Sastranegara,,,,,,,
Cicendo,Arjuna,,,,,,,
Cicendo,Pajajaran,,,,,,,
Cicendo,Pasirkaliki,,,,,,,
Cicendo,Pamoyanan,,,,,,,
Cicendo,Sukaraja,,,,,,,
Andir,Maleber,,,,,,,
Andir,Dungus Cariang,,,,,,,
Andir,Ciroyom,,,,,,,
Andir,Kebon Jeruk,,,,,,,
Andir,Garuda,,,,,,,
Andir,Campaka,,,,,,,
Coblong,Cipaganti,,,,,,,
Coblong,Lebak Gede,,,,,,,
Coblong,Sadang Serang,,,,,,,
Coblong,Dago,,,,,,,
Coblong,Sekeloa,,,,,,,
Coblong,Lebak Siliwangi ,442,830,1272,1272,,,
Bandung Wetan,Cihapit,0,0,0,0,0,0,
Bandung Wetan,Taman Sari,0,0,0,0,0,0,
Bandung Wetan,Citarum,0,0,0,0,0,0,
Sumur Bandung,Braga,,,,,,,
Sumur Bandung,Merdeka,,,,,,,
Sumur Bandung,Kebon Pisang,,,,,,,
Sumur Bandung,Babakan Ciamis,,,,,,,
Cibeunying Kidul,Padasuka,0,75,75,,0,0,
Cibeunying Kidul,Cikutra,20,0,20,,0,25,
Cibeunying Kidul,Cicadas,0,0,0,0,0,0,
Cibeunying Kidul,Sukamaju,0,100,100,,0,20,
Cibeunying Kidul,Sukapada,0,0,0,0,0,0,
Cibeunying Kidul,Pasirlayung,0,0,0,0,0,0,
Cibeunying Kaler,Cihaurgeulis,50,50,100,100,3,29,
Cibeunying Kaler,Sukaluyu,0,15,15,15,,31,
Cibeunying Kaler,Neglasari,35,15,50,50,3,15,
Cibeunying Kaler,Cigadung,60,41,101,101,,15,
Astana Anyar,Karasak,,,,,,,
Astana Anyar,Nyengseret,,,,,,,
Astana Anyar,Karang Anyar,,,,,,,
