nama_kecamatan,iud,mow,mop,kondom,implant,suntikan,pil
Sukasari,7,0,0,0,0,17,0
Coblong,9,0,0,1,0,8,0
Babakan Ciparay,0,0,0,0,0,8,0
Bojongloa Kaler,19,0,0,0,0,2,10
Andir,10,0,0,0,0,2,1
Cicendo,11,0,0,0,0,19,2
Sukajadi,19,2,0,6,8,17,7
Cidadap,0,0,0,0,0,0,0
Bandung Wetan,6,3,0,1,6,6,0
Astana Anyar,0,0,0,0,0,0,0
Regol,0,0,0,0,0,12,0
Batununggal,8,0,0,0,0,60,4
Lengkong,8,1,0,0,0,3,0
Cibeunying Kidul,0,0,0,0,0,0,0
Bandung Kulon,10,0,0,0,0,39,3
Kiaracondong,47,0,0,0,9,6,0
Bojongloa Kidul,22,6,0,0,0,13,2
Cibeunying Kaler,24,0,0,0,0,12,0
Sumur Bandung,3,2,0,0,1,0,0
Antapani,2,0,0,0,0,2,0
Bandung Kidul,3,0,0,0,0,24,3
Buahbatu,15,3,0,2,0,11,0
Rancasari,27,4,0,2,0,20,2
Arcamanik,0,0,0,0,0,0,0
Cibiru,5,0,0,0,0,3,0
Ujung Berung,0,0,0,0,0,0,0
Gedebage,0,0,0,0,0,0,0
Panyileukan,0,0,0,0,0,0,0
Cinambo,0,0,0,0,0,0,0
Mandalajati,0,0,0,0,0,0,0
