lokasi,nama_komoditas,2016-05-06,2016-05-13,2016-05-20,2016-05-27,2016-05-02,2016-05-03,2016-05-04,2016-05-09,2016-05-10,2016-05-11,2016-05-12,2016-05-16,2016-05-17,2016-05-19,2016-05-23,2016-05-24,2016-05-25,2016-05-26,2016-05-30,2016-05-31,,
Pasar Sederhana,Beras Medium,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,,
Pasar Sederhana,Cabe Merah,0,40000,30000,30000,25000,25000,25000,40000,40000,40000,40000,30000,30000,30000,30000,30000,30000,30000,30000,30000,,
Pasar Sederhana,Bawang Merah,0,40000,40000,40000,40000,0,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,,
Pasar Sederhana,Daging Ayam Ras,0,34000,32000,32000,0,30000,30000,34000,34000,34000,34000,32000,32000,32000,32000,32000,32000,32000,32000,34000,,
Pasar Sederhana,Telur Ayam Ras,0,20000,20000,22000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,0,21000,21000,22000,22000,23000,,
Pasar Sederhana,Daging Sapi,0,120000,120000,120000,120000,120000,120000,120000,120000,120000,102167,120000,120000,120000,120000,120000,120000,120000,120000,120000,,
Pasar Sederhana,Minyak Goreng,0,14500,14500,14500,14500,14500,14500,14500,14500,14500,13750,14500,14500,14500,14500,14500,14500,14500,14500,14500,,
Pasar Sederhana,Gula Pasir,0,15000,15000,15000,13000,13000,13000,13000,13000,13000,13000,15000,15000,15000,15000,15000,15000,15000,15000,15000,,
Pasar Sederhana,Kentang,0,10000,0,16000,10000,10000,10000,10000,10000,10000,10000,14000,14000,14000,16000,16000,16000,16000,16000,16000,,
Pasar Sederhana,Kedelai,0,13000,13000,10000,13000,0,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,,
Pasar Sederhana,Tepung Terigu,0,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,,
Pasar Sederhana,Bawang Putih,0,36000,36000,40000,0,36000,36000,36000,36000,36000,36000,36000,0,36000,40000,0,0,40000,40000,40000,,
Pasar Sederhana,Cabe Keriting,0,30000,28000,24000,25000,25000,0,30000,30000,30000,30000,0,28000,28000,24000,24000,24000,24000,24000,24000,,
Pasar Sederhana,Cabe Rawit,0,25000,28000,28000,0,25000,25000,25000,25000,25000,25000,28000,28000,28000,28000,28000,28000,28000,28000,28000,,
Pasar Sederhana,Kacang Tanah,0,24000,26000,26000,24000,24000,24000,24000,24000,24000,24000,26000,26000,26000,26000,26000,26000,26000,26000,26000,,
Pasar Sederhana,Ubi Kayu,0,4000,4000,0,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,,
Pasar Sederhana,Ubi Jalar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Pasar Sederhana,Jagung,0,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,,
Pasar Sederhana,Ikan Olahan,0,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,,
Pasar Sederhana,Beras Premium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Pasar Sederhana,Minyak Goreng Curah,0,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,,
Pasar Sederhana,Daging Ayam Kampung,0,60000,60000,60000,60000,6000,6000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,,
Pasar Sederhana,Telur Ayam Kampung,0,44000,44000,0,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,,
Pasar Sederhana,Susu Kental Manis Merk Bendera,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,,
Pasar Sederhana,Susu Kental Manis Merk Indomilk,0,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,,
Pasar Sederhana,Garam Beryodium Bata,0,1500,1500,1500,1500,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,15000,1500,1500,0,,
Pasar Sederhana,Garam Beryodium Halus,0,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,0,6000,6000,,
Pasar Sederhana,Tepung Terigu Cakra Kembar,0,0,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,,
Pasar Sederhana,Tepung Terigu Kunci,0,7500,7500,7500,7500,7500,7500,7500,7500,7500,6583,7500,7500,7500,7500,7500,7500,7500,7500,7500,,
Pasar Sederhana,Mie Instan,0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,,
Pasar Sederhana,Cabe Rawit Hijau,0,20000,22000,15000,20000,20000,20000,20000,20000,20000,20000,22000,22000,0,15000,15000,15000,15000,15000,15000,,
Pasar Sederhana,Kacang Hijau,0,22000,22000,22000,0,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,,
Pasar Sederhana,Susu Bubuk Dancow,0,41200,41200,0,41200,41200,41200,0,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,,
Pasar Sederhana,Susu Bubuk Indomilk,0,36500,36500,36500,0,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,,
Pasar Sederhana,Ikan Kembung,0,34000,30000,30000,34000,34000,34000,34000,34000,34000,34000,30000,30000,30000,30000,30000,30000,30000,30000,30000,,
