"KODE 
REKENING,URAIAN,JUMLAH,DASAR HUKUM",DESKRIPSI,JUMLAH,DASAR HUKUM
1.19 . 1.19.02 . 00 . 00 . 5,BELANJA,84197338051,
1.19 . 1.19.02 . 00 . 00 . 5 . 1,BELANJA TIDAK LANGSUNG,32766872174,
1.19 . 1.19.02 . 00 . 00 . 5 . 1 . 1,Belanja Pegawai,32766872174,PP 12 Tahun 2006 ttg Tunjangan Umum bagi PNS
1.19 . 1.19.02 . 01 . 02 . 5 . 2,BELANJA LANGSUNG,51430465877,
1.19 . 1.19.02 . 01,Program Pelayanan Administrasi Perkantoran,2907871190,
1.19 . 1.19.02 . 01 . 02,Penyediaan jasa komunikasi Sumber daya air dan listrik,170000000,
1.19 . 1.19.02 . 01 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,170000000,
1.19 . 1.19.02 . 01 . 03,Penyediaan jasa peralatan dan perlengkapan kantor,0,
1.19 . 1.19.02 . 01 . 03 . 5 . 2 . 1,Belanja Pegawai,0,
1.19 . 1.19.02 . 01 . 03 . 5 . 2 . 3,Belanja Modal,0,
1.19 . 1.19.02 . 01 . 08,Penyediaan jasa kebersihan kantor,257000000,
1.19 . 1.19.02 . 01 . 08 . 5 . 2 . 1,Belanja Pegawai,5800000,
1.19 . 1.19.02 . 01 . 08 . 5 . 2 . 2,Belanja Barang dan Jasa,251200000,
1.19 . 1.19.02 . 01 . 09,Penyediaan jasa perbaikan peralatan kerja,150000000,
1.19 . 1.19.02 . 01 . 09 . 5 . 2 . 1,Belanja Pegawai,3300000,
1.19 . 1.19.02 . 01 . 09 . 5 . 2 . 2,Belanja Barang dan Jasa,146700000,
1.19 . 1.19.02 . 01 . 10,Penyediaan alat tulis kantor,65000000,
1.19 . 1.19.02 . 01 . 10 . 5 . 2 . 1,Belanja Pegawai,1400000,
1.19 . 1.19.02 . 01 . 10 . 5 . 2 . 2,Belanja Barang dan Jasa,63600000,
1.19 . 1.19.02 . 01 . 11,Penyediaan barang cetakan dan penggandaan,110000000,
1.19 . 1.19.02 . 01 . 11 . 5 . 2 . 1,Belanja Pegawai,1400000,
1.19 . 1.19.02 . 01 . 11 . 5 . 2 . 2,Belanja Barang dan Jasa,108600000,
