NO,PENDIDIKAN UMUM DAN MATA PENCAHARIAN TETAP,WNI PRIA,WNI WANITA,WNI  KETURUNAN PRIA,WNI KETURUNAN WANITA,WNA PRIA,WNA WANITA,KELURAHAN
A,PENDIDIKAN,,,,,,,
1,Tidak / belum sekolah,1109,913,0,0,0,0,CIBUNTU
2,Tidak tamat SD,211,248,0,0,0,0,CIBUNTU
3,Belum tamat SD,864,831,0,0,0,0,CIBUNTU
4,Tamat  SD,4416,4115,0,0,0,0,CIBUNTU
5,S  L  P,526,568,0,0,0,0,CIBUNTU
6,S  L  A,546,475,0,0,0,0,CIBUNTU
7,Akademi / Sarjana Muda,296,290,0,0,0,0,CIBUNTU
8,Sarjana,438,303,0,0,0,0,CIBUNTU
B,MATA  PENCAHARIAN,,,,,,,
1,Pegawai Negeri,105,105,0,0,0,0,CIBUNTU
2,A. B. R. I.,32,1,0,0,0,0,CIBUNTU
3,Pegawai Swasta,2196,1028,0,0,0,0,CIBUNTU
4,Tani,0,0,0,0,0,0,CIBUNTU
5,Dagang,432,288,0,0,0,0,CIBUNTU
6,Pelajar,1785,1514,0,0,0,0,CIBUNTU
7,Mahasiswa,155,176,0,0,0,0,CIBUNTU
8,Pensiunan,117,90,0,0,0,0,CIBUNTU
9,Lain-lain,3584,4541,0,0,0,0,CIBUNTU
