Kecamatan,Kelurahan,Jumlah Pekerja Laki-laki,Jumlah Pekerja Perempuan,Jumlah Peserta BPJS
Andir,Maleber,50.0,546.0,591.0
Andir,Dungus Cariang,382.0,155.0,267.0
Andir,Garuda,540.0,288.0,473.0
Andir,Campaka,315.0,129.0,266.0
Andir,Kebon Jeruk,747.0,908.0,965.0
Andir,Ciroyom,253.0,171.0,266.0
Cihapit,Antapani Tengah,498.0,77.0,506.0
Cihapit,Antapani Wetan,164.0,124.0,111.0
Cihapit,Antapani Kidul,129.0,17.0,99.0
Cihapit,Antapani Kulon,187.0,274.0,429.0
Arcamanik,Cisaranten Endah,229.0,25.0,225.0
Arcamanik,Cisaranten Kulon,67.0,8.0,68.0
Arcamanik,Sukamiskin,206.0,89.0,145.0
Arcamanik,Cisaranten Bina Harapan,221.0,429.0,648.0
Arcamanik,Sindang Jaya,161.0,16.0,119.0
Astanaanyar,Nyengseret,105.0,47.0,58.0
Astanaanyar,Cibadak,260.0,187.0,195.0
Astanaanyar,Panjunan,86.0,56.0,110.0
Astanaanyar,Karanganyar,184.0,148.0,238.0
Astanaanyar,Pelindung Hewan,403.0,222.0,507.0
Astanaanyar,Karasak,180.0,74.0,217.0
Babakan Ciparay,Margahayu Utara,348.0,261.0,417.0
Babakan Ciparay,Babakan,147.0,83.0,193.0
Babakan Ciparay,Margasuka,652.0,361.0,842.0
Babakan Ciparay,Babakan Ciparay,4.426,3.591,5.514
Babakan Ciparay,Sukahaji,250.0,119.0,355.0
Babakan Ciparay,Cirangrang,862.0,682.0,1.208
Bandung Kidul,Batununggal,1.817,881.0,2.31
Bandung Kidul,Batu Cikal,158.0,44.0,71.0
Bandung Kidul,Kujangsari,464.0,34.0,409.0
Bandung Kidul,Mengger,198.0,103.0,253.0
Bandung Kidul,Wates,0.0,0.0,0.0
Bandung Kulon,Cijerah,299.0,482.0,490.0
Bandung Kulon,Cigondewah Kaler,156.0,195.0,186.0
Bandung Kulon,Gempol Sari,128.0,161.0,88.0
Bandung Kulon,Cigondewah Kidul,30.0,20.0,30.0
Bandung Kulon,Caringin,999.0,423.0,713.0
Bandung Kulon,Warung Muncang,300.0,109.0,232.0
Bandung Kulon,Cigondewah Rahayu,88.0,79.0,145.0
Bandung Kulon,Cibuntu,416.0,118.0,510.0
Bandung Wetan,Cihapit,2.219,1.006,1.567
Bandung Wetan,Citarum,3.413,1.904,3.439
Bandung Wetan,Taman Sari,2.186,1.363,1.3
Batununggal,Binong,199.0,96.0,98.0
Batununggal,Samoja,379.0,11.0,122.0
Batununggal,Kebon Gedang,27.0,29.0,51.0
Batununggal,Cibangkong,2.484,1.103,3.481
Batununggal,Kebon Waru,336.0,92.0,378.0
Batununggal,Gumuruh,428.0,1.047,157.0
Batununggal,Maleer,101.0,42.0,134.0
Batununggal,Kacapiring,1.069,150.0,1.09
Babakan Ciparay,Jamika,282.0,122.0,69.0
Babakan Ciparay,Kopo,1.491,716.0,1.391
Babakan Ciparay,Babakan Asih,141.0,43.0,128.0
Babakan Ciparay,Suka Asih,765.0,263.0,733.0
Babakan Ciparay,Babakan Tarogong,167.0,69.0,74.0
Bojongloa Kidul,Kebon Lega,2.132,812.0,1.721
Bojongloa Kidul,Cibaduyut,319.0,323.0,154.0
Bojongloa Kidul,Mekarwangi,396.0,38.0,407.0
Bojongloa Kidul,Cibaduyut Kidul,0.0,0.0,0.0
Bojongloa Kidul,Situsaeur,477.0,124.0,340.0
Bojongloa Kidul,Cibaduyut Wetan,4.0,11.0,15.0
Buahbatu,Jatisari,91.0,15.0,0.0
Buahbatu,Margasari,282.0,241.0,436.0
Buahbatu,Sekejati,6.354,781.0,3.759
Buahbatu,Cijawura,1.279,27.0,1.206
Cibeunying Kaler,Sukaluyu,118.0,71.0,130.0
Cibeunying Kaler,Cigadung,197.0,76.0,282.0
Cibeunying Kaler,Cihaurgeulis,363.0,136.0,340.0
