nama_kecamatan,iud,mow,mop,kondom,implant,suntikan,pil
Sukasari,3,0,0,2,1,29,14
Coblong,45,0,0,2,8,39,2
Babakan Ciparay,5,0,0,0,2,8,3
Bojongloa Kaler,17,0,0,1,0,32,13
Andir,26,0,0,0,1,13,0
Cicendo,17,1,0,5,0,16,5
Sukajadi,128,24,0,18,11,29,27
Cidadap,4,3,0,0,0,35,0
Bandung Wetan,37,16,0,4,3,12,7
Astana Anyar,110,30,0,2,5,53,13
Regol,45,4,0,0,0,30,4
Batununggal,19,0,0,0,1,23,0
Lengkong,3,0,0,0,0,15,3
Cibeunying Kidul,18,0,0,1,0,15,1
Bandung Kulon,11,1,0,8,9,50,34
Kiaracondong,3,0,0,5,0,15,3
Bojongloa Kidul,7,0,0,0,0,3,0
Cibeunying Kaler,1,0,0,0,0,3,0
Sumur Bandung,1,0,0,0,0,16,3
Antapani,1,0,0,0,1,16,0
Bandung Kidul,3,0,0,0,2,31,1
Buahbatu,4,0,0,0,2,21,0
Rancasari,5,1,0,2,0,54,8
Arcamanik,35,0,0,0,11,4,4
Cibiru,4,0,0,1,0,20,8
Ujung Berung,1,0,0,2,0,46,13
Gedebage,5,0,0,0,0,21,12
Panyileukan,4,0,0,0,0,22,3
Cinambo,52,18,0,0,0,8,0
Mandalajati,8,0,0,0,11,20,0
