nama_kecamatan,iud,mow,mop,kondom,implant,suntikan,pil
Sukasari,7,0,0,4,2,55,0
Coblong,22,0,0,1,6,25,4
Babakan Ciparay,4,0,0,0,0,5,2
Bojongloa Kaler,0,0,0,0,0,8,0
Andir,31,1,0,0,0,7,0
Cicendo,1,0,0,4,0,13,0
Sukajadi,79,29,0,11,0,2,17
Cidadap,1,0,0,1,3,27,0
Bandung Wetan,60,14,0,2,7,5,5
Astana Anyar,88,23,0,6,7,51,0
Regol,26,1,0,3,0,12,4
Batununggal,21,0,0,2,0,30,1
Lengkong,7,0,0,0,3,19,0
Cibeunying Kidul,9,0,0,0,0,8,0
Bandung Kulon,1,0,0,0,0,33,23
Kiaracondong,1,0,0,1,0,3,1
Bojongloa Kidul,0,0,0,0,0,2,0
Cibeunying Kaler,3,0,0,0,0,0,0
Sumur Bandung,2,0,0,2,10,21,4
Antapani,17,0,0,11,3,0,0
Bandung Kidul,2,0,0,0,0,15,2
Buahbatu,2,0,0,0,2,26,1
Rancasari,4,0,0,0,3,35,5
Arcamanik,43,0,0,0,12,15,3
Cibiru,9,0,0,0,5,25,5
Ujung Berung,29,0,0,0,40,5,7
Gedebage,12,1,0,0,0,7,15
Panyileukan,3,0,0,0,2,2,0
Cinambo,99,12,0,0,0,4,0
Mandalajati,18,0,0,0,1,8,0
