id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan,,,
3626310,Alat Tulis Kantor Operasional Pendamping KUBE dan PKH,62400000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,"Peningkatan Kemampuan (Capacity Building) petugas dan pendamping sosial pemberdayaan fakir miskin, KAT dan PMKS lainya",Barang/jasa,Barang,4 Paket,Dinas Sosial,"Alat Tulis Kantor Operasional Pendamping KUBE dan PKH Penunjang Kegiatan Peningkatan Kemampuan (Capacity Building) petugas dan pendamping sosial pemberdayaan fakir miskin, KAT dan PMKS lainya",APBD,62400000,1.13.1.13.01.15.01.5.2.2.01.01,Pengadaan Langsung,01/02/2015,28/02/2015,01/03/2015,31/03/2015,,,
3634068,"Belanja Bahan Percontohan Kegaiatan Pelayanan dan Perlindungan Sosial,Hukum bagi Korban Eksploitasi,Perdagangan Perempuan dan Anak",65000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,"Belanja Kegaiatan Pelayanan dan Perlindungan Sosial,Hukum bagi Korban Eksploitasi,Perdagangan Perempuan dan Anak",Barang/jasa,Barang,1 Paket,Kota Bandung,"Belanja Bahan Percontohan Kegaiatan Pelayanan dan Perlindungan Sosial,Hukum bagi Korban Eksploitasi,Perdagangan Perempuan dan Anak",APBD,65000000,1.13.01.16.02.5.2.2.02.07,Pengadaan Langsung,02/07/2015,31/07/2015,03/08/2015,31/08/2015,,,
3611181,"Belanja Brosur,Pamplet,Umbul-umbul dan Sarana Informasi LainnyaPelaksanaan KIE Konseling dan Kampanye Sosial bagi PMKS",24250000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Pelaksanaan KIE Konseling dan Kampanye Sosial bagi PMKS,Barang/jasa,Barang,1 Paket,Kota Bandung,"Belanja Brosur,Pamplet,Umbul-umbul dan Sarana Informasi LainnyaPelaksanaan KIE Konseling dan Kampanye Sosial bagi PMKS",APBD,24250000,1.13.01.16.03.5.2.2.01.10,Pengadaan Langsung,02/02/2015,27/02/2015,02/03/2015,31/03/2015,,,
3611830,Alat tulis Kantor,47800000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Peningkatan Keterampilan Tenaga Pembinaan Anak Terlantar,Barang/jasa,Barang,1 Paket,Dinas Sosial,Belanja Alat Tulis Kantor Penunjang Kegiatan Peningkatan Keterampilan Tenaga Pembinaan Anak Terlantar,APBD,47800000,1.13.1.13.01.17.05.5.2.2.01.01,Pengadaan Langsung,01/02/2015,28/02/2015,01/03/2015,31/03/2015,,,
3578755,"Belanja modal komputer PC, komputer all in one, komputer note book, PC tablet",200000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Pengadaan perlengkapan peralatan aparatur,Modal,Barang,1 paket,Dinas Sosial,"Belanja modal komputer PC, komputer all in one, komputer note book, PC tablet penunjang kegiatan Pengadaan perlengkapan peralatan aparatur",APBD,200000000,1.13.1.13.01.02.12.5.2.3.29.02,Pengadaan Langsung,01/02/2015,31/03/2015,31/03/2015,30/04/2015,,,
3611711,Penyelenggaraan Bakat dan Keterampilan Antar Angkatan 2,193520000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Pengembangan bakat dan keterampilan anak terlantar,Barang/jasa,Jasa Lainnya,1 Paket,Dinas Sosial,Penyelenggaraan Bakat dan Keterampilan Antar Angkatan 2 Penunjang Kegiatan Pengembangan bakat dan keterampilan anak terlantar,APBD,193520000,1.13.1.13.01.17.04.5.2.2.03.21,Pengadaan Langsung,01/04/2015,30/04/2015,01/05/2015,30/06/2015,,,
3633361,Pendukung usaha bagi keluarga miskin (PRSE),73687500,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Pengadaan sarana dan prasarana pendukung usaha bagi keluarga miskin,Barang/jasa,Barang,2 Paket,Dinas Sosial,Pendukung usaha bagi keluarga miskin (PRSE) penunjang kegiatan Pengadaan sarana dan prasarana pendukung usaha bagi keluarga miskin,APBD,73687500,1.13.01.15.04.5.2.2.02.06,Pengadaan Langsung,01/02/2015,28/02/2015,01/03/2015,31/03/2015,,,
3579485,Belanja Pakaian Dinas Harian (PDH),38974000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Pengadaan pakaian dinas beserta perlengkapannya,Barang/jasa,Barang,50 stel,Dinas Sosial,Belanja Pakaian Dinas Harian (PDH) penunjang kegiatan Pengadaan pakaian dinas beserta perlengkapannya,APBD,38974000,1.13.1.13.01.03.02.5.2.2.12.04,Pengadaan Langsung,01/02/2015,31/03/2015,31/03/2015,30/04/2015,,,
3609633,"Belanja peralatan dan perlengkapan kantor filing kabinet, lemari arsip, whiteboard, mesin cuci, fakum cleaner, mesin pembersih lantai, AC, kursi pejabat dan kursi tamu",197300000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Penyediaan peralatan dan perlengkapan kantor,Barang/jasa,Barang,1 paket,Dinas Sosial,"Belanja peralatan dan perlengkapan kantor filing kabinet, lemari arsip, whiteboard, mesin cuci, fakum cleaner, mesin pembersih lantai, AC, kursi pejabat dan kursi tamu penunjang kegiatan Penyediaan peralatan dan perlengkapan kantor",APBD,197300000,"1.13.1.13.01.01.13.5.2.3.27.04.03,.28.03,04,30.03,06",Pengadaan Langsung,01/02/2015,31/03/2015,31/03/2015,30/04/2015,,,
3582648,Bimbingan teknis pegawai,127980000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Pembinaan kinerja aparatur,Barang/jasa,Jasa Lainnya,1 paket,Dinas Sosial,Bimbingan teknis pegawai penunjang kegiatan aan kinerja aparatur,APBD,127980000,1.13.1.13.01.05.04.5.2.2.17.03,Pengadaan Langsung,01/02/2015,31/03/2015,31/03/2015,30/04/2015,,,
