tahun,bulan,jumlah_kebakaran,benda_yang_terbakar_bangunan_perumahan,benda_yang_terbakar_pasar,benda_yang_terbakar_bangunan_industri,benda_yang_terbakar_shoping_centre,benda_yang_terbakar_bangunan_umum,benda_yang_terbakar_lain-lain,penyebab_kebakaran_kompor,penyebab_kebakaran_lampu_tempel,penyebab_kebakaran_listrik,penyebab_kebakaran_rokok,penyebab_kebakaran_lain_lain,jumlah_yang_terbakar_bangunan_perumahan,jumlah_yang_terbakar_kios,jumlah_yang_terbakar_bangunan_industri,jumlah_yang_terbakar_shoping_centre,jumlah_yang_terbakar_lain-lain,korban_mati,korban_luka,mobil_yang_bertugas,penggunaan_air_pdam_m3,penggunaan_air_lain-lain_m3,areal_kebakaran_m2,bangunan_terselamatkan,taksiran_jumlah_kerugian_rp
2012,JANUARI,-,-,-, -,-,-, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,FEBRUARI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,MARET,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,APRIL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,MEI,3,-,-,1,-,-,2,-,-,1,-,2,-,-,1,-,2,-,-,7,28,-,64,-,75000000
2012,JUNI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,JULI,1,1,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,3,12,-,15,-,10000000
2012,AGUSTUS,2,-,-,1,-,1,-,-,-,1,-,1,-,-,1,-,-,-,-,8,32,-,275,-,-
2012,SEPTEMBER,1,1,-,-,-,-,-,-,-,-,-,1,10,-,-,-,-,-,-,10,40,-,500,-,300000000
2012,OKTOBER,2,-,-,1,-,1,-,-,-,1,-,1,-,-,1,-,-,-,-,3,44,-,1072,-,1050000000
2012,NOPEMBER,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,1,24,-,485,-,400000000
2012,DESEMBER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
