NO,NAMA PERUSAHAAN,KELURAHAN,ALAMAT,JENIS USAHA,JML KARYAWAN ,THN BERDIRI 
1,TOKO ABC,KEBON JERUK,Jl. Dulatif No. 68,Jualan Kain,3 org,2011
2,TOKO MAJU JAYA,,Pasar Baru Lt.Dasar Blok E No. 9,Jualan Sepatu,2 org,2012
3,TOKO ARIES,,Pasar Baru Kios C-02,Jualan Boneka dan Taplak Meja,4 org,2013
4,TOKO RENGGANIS BATIK,,Pasar Baru ,Pakaian Jadi,2 org,2012
5,TOKO TRESNA,,Pasar Baru Blok C No. 72,Pakaian Jadi,2 org,2010
6,TOKO ALBEL JAYA,,Pasar Baru Blok F No. 68,Kerudung,2 org,2013
7,TOKO MAJU JAYA,,Pasar Baru Lt.III Blok P3 A No.3-5,Kain,2 org,2011
8,MIKHA COLLECTION,,Pasar Baru Lt.D1 Blok G No.11,Mukena,3 org,2009
9,TOKO ANUGERAH,,Jl. Mayor Sunarya No. 4,Kain,2 org,2008
10,TOKO HASIAN COLLECTION,,Pasar Baru Lt.I Blok E No.1,Pakaian Jadi,2 org,2007
11,BATIK AHMAD,,Pasar Baru Lt.I Blok A2 No.32-33,Jualan Batik,2 org,2010
12,FS. COMP,,Jl. Saritem No. 87,Spare part komp & Pakian,2 org,2011
13,TOKO AL- MADINAH,,Pasar Baru Lt.Dasar I Blok M No.16,Grosir &Eceran Pakian Muslim,2 org,2012
14,TOKO ABADI,,Jl. Kebon Jati No 2,Bahan Makanan,2 org,2008
15,TOKO ANEKA KUE,,Jl. Belakang Pasr No. 19,Jualan Kue,2 org,2013
16,ADB,,Jl. R. Adibrata No. 110,Jasa Tata Boga,2 org,2011
17,TOKO BATIK &TAS,,Pasar Baru Lt.Dasar 2 Blok D No.28,Jualan Batik & Tas,2 org,2008
18,M'G COLLECTION,,Pasar Baru Lt.V Blok C No.45,Pakaian Jadi,2 org,2011
19,TOKO PUTRI ASOKA,,Jl. Pasar Barat No. 3,Pakaian Jadi & Kain,2 org,2012
20,HONEY, BE,,Pasar Baru Lt.4 Blok.A2 No.65,Pakian Bayi,2 org,2010
21,PUTRA MANDIRI CATERING,,Jl. R. Adibrata No.24/8 B,Catering,4 org,2013
22,TOKO REJEKI JAYA,,Jl Fahruroji No. 17 B,Kain,2 org,2013
23,GALA HARMONIA,,Pasar Baru Lt.6 Blok.D No.28,Makanan Sunda,4 org,2013
24,TOKO LOSO GLOSIR,,Pasar Baru Lt.I Blok.D No.25,Pakaian Jadi,2 org,2013
25,TUJUH TEXSTILE,,Jl. Ence Azis No. 8,Eceran texstil,3 org,2009
26,VIOR HOME ACCESSORIES,,Ruko Hyper Square Blok C No.18,Accessories,2 org,2013
27,TOKO CITASARI,,Jl. Pasar Selatan No. 17,Texstil,2 org,2013
28,BERKAT LESTARI,,Jl. Dulatif Kav.b -10,Dagang Barang,3 org,2013
29,TOKO DWI PUTRI,,Pasar Baru Lt.5 Blok.B2 No.10,Pakaian Jadi,2 org,2013
30,SHARON BAKERI,,Ruko Hyper Square Blok.A No.51,Restoran,4 org,2013
31,SEA FOOD MAS,,Jl. Kelenteng No. 22,Makanan Laut,4 org,2013
32,NICHOLA'S HEALTTY KITCHEN,,Ruko Hyper Square Blok D No.66-67,Jual Makanan,12 org,2011
33,TOKO FELICIA,,Jl. Kebon Jati No. 138,Perdagngan,3 org,2013
34,NEW BY MORITE,,Jl. Kebon jati No. 41 Kav 35 Komp.Luxor,Losmen,5 org,2008
35,PD. SARI,,Jl. Bbk Stasion No.43/7 B,Eceran Beras,11 org,2009
36,ARMY JEANS,,Jl. Kencana No. 4,Jualan Kain Jeans,1 org,2009
37,BANDAR GANTUNGAN,,Jl. Kebonjati No. 27,makanan,3 org,2012
38,TOKO OPTIK MODREN,,Jl. Gardujati No. 34,Perdagangan,6 org,2012
39,PONDOK SAHAYA,,Jl. Kebon Jati No. 22 Kav. 6 ,Pondokan,4 org,2012
40,JAYA TEX II,,Jl. Dulatip No. 12,Jualan Kain Jeans,3 org,2012
41,TOKO MAKMUR JAYA,,Jl. Pasar Selatan No. 20,Jual Obat-obatan,2 org,2012
42,DEWI MAKMUR,,Jl. Dulatip No. 93,Toko dan Penginapan,3 org,2012
43,SABRINA,,Pasar Baru Lt. IV Blok A2 No. 72,Jualan Pakaian,2 org,2012
44,GHF JAYA,,Pasar Baru,Jualan Pakaian,2 org,2012
45,TEMMY JAYA,,Pasar Baru Lt. III Blok A1 No. 81,Jualan Pakian Jadi,2 org,2012
46,KLINIK MELATI,,Jl. Dulatip No. 16,Kilinik Praktek Dokter,2 org,2012
47,ALIEN SOH,,Jl. Durman No. 24,Rumah Makan,4 org,2012
48,MEGA FLOWER,,Jl. Oto Iskandardinata No. 70,Jualan Kerang Hias,2 org,2012
49,TOKO RAJA,,Jl. Dulatip No. 6,Niaga,3 org,2012
50,DUA SAUDARA,,Jl. Belakang Pasar 41,Alat-alat rumah tangga,3 org,2010
51,TOKO SINAR ANUGERAH,,Jl. Oto Iskandardinata No. 96,Pakaian Jadi,2 org,2012
52,LIDOVICUS,,Jl. Ence Azis No. 40,Ayam Goreng,4 org,2012
53,KEDATON,,Jl. Belakang Pasar No. 75/ 10 A,Pembuatan Keripik Singkong,2 org,2012
54,GARDEN BAKERY,,Jl. Pasirkaliki No. 25-27,Perdagangan ROTI dan Kue,3 org,2012
55,PLANET GAYA,,Pasar Baru Lt. II Blok A2 No. 16,Jualan Perhiasan Mas,2 org,2012
56,GUDANG BATIK,,Jl. Oto Iskandardinata No. 130,Penjualan Batik,2 org,2012
57,TOKO ROBBY PUTRA SHOES,,Pasar Baru Lt. III Blok E2 No. 18,Perdagangan Sepatu dan Sandal,2 org,2012
58,RELIC STASION,,Jl. Stasion Timur No. 12,Jualan Kain,2 org,2012
59,APOTEK GRAHA LABORA,,Jl. Kebon Jati No. 87,Farmasi,2 org,2012
60,WEDANG RONDE,,Jl. Gardu jati52,Warung Nasi,2 org,2011
61,GAME COORNER,,Jl. Gardu Jati No. 46,Rental Game,2 org,2012
62,MAKLON RAJUT,,Jl. Jend. Sudirman No. 280,Rajut,2 org,2012
63,SINAR LAKSINDO,,Gg. Warsa No. 16,Printing,2 org,2012
64,IDAYAH,,Pasar Baru Lt. I Blok E No. 2,Jualan Pakaian Jadi,2 org,2012
65,TOKO ABC,,Jl. Dulatif No. 68,Jualan Kain,3 org,2011
66,TOKO MAJU JAYA,,Pasar Baru Lt.Dasar Blok E No. 9,Jualan Sepatu,2 org,2012
67,TOKO ARIES,,Pasar Baru Kios C-02,Jualan Boneka dan Taplak Meja,4 org,2013
68,TOKO RENGGANIS BATIK,,Pasar Baru ,Pakaian Jadi,2 org,2012
69,TOKO TRESNA,,Pasar Baru Blok C No. 72,Pakaian Jadi,2 org,2010
70,TOKO ALBEL JAYA,,Pasar Baru Blok F No. 68,Kerudung,2 org,2013
71,TOKO MAJU JAYA,,Pasar Baru Lt.III Blok P3 A No.3-5,Kain,2 org,2011
72,MIKHA COLLECTION,,Pasar Baru Lt.D1 Blok G No.11,Mukena,3 org,2009
73,TOKO ANUGERAH,,Jl. Mayor Sunarya No. 4,Kain,2 org,2008
74,TOKO HASIAN COLLECTION,,Pasar Baru Lt.I Blok E No.1,Pakaian Jadi,2 org,2007
75,BATIK AHMAD,,Pasar Baru Lt.I Blok A2 No.32-33,Jualan Batik,2 org,2010
76,FS. COMP,,Jl. Saritem No. 87,Spare part komp & Pakian,2 org,2011
77,TOKO AL- MADINAH,,Pasar Baru Lt.Dasar I Blok M No.16,Grosir &Eceran Pakian Muslim,2 org,2012
78,TOKO ABADI,,Jl. Kebon Jati No 2,Bahan Makanan,2 org,2008
79,TOKO ANEKA KUE,,Jl. Belakang Pasr No. 19,Jualan Kue,2 org,2013
80,ADB,,Jl. R. Adibrata No. 110,Jasa Tata Boga,2 org,2011
81,TOKO BATIK &TAS,,Pasar Baru Lt.Dasar 2 Blok D No.28,Jualan Batik & Tas,2 org,2008
82,M'G COLLECTION,,Pasar Baru Lt.V Blok C No.45,Pakaian Jadi,2 org,2011
83,TOKO PUTRI ASOKA,,Jl. Pasar Barat No. 3,Pakaian Jadi & Kain,2 org,2012
84,HONEY, BE,,Pasar Baru Lt.4 Blok.A2 No.65,Pakian Bayi,2 org,2010
85,PUTRA MANDIRI CATERING,,Jl. R. Adibrata No.24/8 B,Catering,4 org,2013
86,TOKO REJEKI JAYA,,Jl Fahruroji No. 17 B,Kain,2 org,2013
87,GALA HARMONIA,,Pasar Baru Lt.6 Blok.D No.28,Makanan Sunda,4 org,2013
88,YOKOTEL,,Jl. Kebon Jati No 19-19A Kebon Jeruk,Hotel,4 Orang,
89,TOKO SINAR MAS,,Jl. Babatan  64  Kebon Jeruk,Perdagangan, Jasa dan Maklon Potong Kertas,4 Orang,
90,PT. SEBASTIAN CITRA INDONESIA,,Jl. Oto Iskandar  No. 70 Blok M1 No B31 Bandung,F N B ( Food  dan Beverge ),5 Orang,
91,PT. MULTI KARYA RAJAWALI,,Halteu Selatan I No. 598B RT.01/03 Dunguscariang,Perdagangan dan Jasa,3 Orang,
92,PT. SUKSES MANDIRI GEMILANG,,Paskal Hyper Squere A-35 Jl. Pasir Kalilki   No 25-27 Bdg,Jasa Konsultasi Bisnis Dan Management,11 orang,
93,PT. EGI RUKUN SEJAHTERA,,Jl. Kebon Jati No 27 A bandung,Kantor Perdagangan Umum dan Jasa,4 Orang,
94,SUMA JAYA GAS,,Rajawali Timur No 187 RT.08/07,Agen GAS,2 Orang,
95,PT. SAVBIEN TAILORING TRANDING,,Jl. Durman No 23-24 Bandung,Pakaian Jadi,5  Orang,
96,PT. MITRA ANDALAN SURYA,,Jl. Dulatif No 68 Bandung,Perdagangan Perindustrian dan Jasa,2  Orang,
,,MALEBER,,,,
97,PT.MITRA MULYA SUKSES,,JL.MALEBER BARAT NO.12 RT.03/03,GUDANG KERAMIK,12 0RANG,
98,YAYASAN PENDIDIKAN TARUMA NEGARA,,JL.MALEBER UTARA NO.7 RT.05/06,PENDIDIKAN SD SWASTA,,
99,SERIKAT RAKYAT MISKIN INDONESIA,,JL.RAJAWALI NO.181/187B RT.04/11,SOSIAL,12 ORANG,
100,SERIKAT RAKYAT MISKIN INDONESIA,,JL.RAJAWALI NO.181/187B RT.04/11,SOSIAL,12 ORANG,
101,CV.DEA PRATAMA,,JL.MOCH.FATTAH I NO.09 RT.01/10,PERDAGANGAN BARANG,,
102,CV.DEA PRATAMA,,JL.MOCH.FATTAH I NO.09 RT.01/10,PERDAGANGAN BARANG,,
103,CV.DEA PRIMA,,JL.MOCH.FATTAH I NO.09 RT.01/10,PERDAGANGAN BARANG,,
104,CV.FREEFLOW ART MEDIA,,JL.DADALI NO.35 RT.01/09,JASA KONSULTAN,9 ORANG,
105,MARANTINA,,JL.MALEBER UTARA RT.04/08,DAGANG ES,,
106,CV.ARLISA,,JL.MALEBER UTARA NO.114/187B RT.07/06,JASA&PERDAGANGAN UMUM,,
107,CV.KARYA GUNA MANDIRI,,JL.BURUNG TUNGKU NO.08 RT.03/09,JASA&PERDAGANGAN UMUM,5 ORANG,
108,BKM RAJAWALI,,JL.MALEBER INPRES I NO.97 RT.05/03,SIMPAN PINJAM,7 ORANG,
109,TEKNIK ELEKTRONIKA & KOMPUTER,,JL.MALEBER BARAT GG.WIBAWA 09 NO.06 RT.1/6,JASA&PERDAGANGAN UMUM,10 ORANG,
110,CV.VIKTORY INTI SEJATI,,JL.MALEBER BARAT RT.01/06 BLK NO.103/11A,JASA&PERDAGANGAN UMUM,3 ORANG,
111,CV.RAJAWALI MANDIRI,,JL.RAJAWALI BARAT NO.25 RT.02/02,WARNET/RENTAL MOBIL,5 ORANG,
112,CV.HANJAYA ,,JL.PINGUIN NO.07 RT.01/08,JASA&PERDAGANGAN UMUM,5 ORANG,
113,PT.TOP UNGGUL LESTARI,,JL.WAMBI NO.07 RT.01/09,JASA/PENGELOLAAN GUDANG,,
114,APOTIK ,,JL.RAJAWALI BARAT NO.89 B RT.05/09,JUAL BELI OBAT,3 0RANG ,
115,MONTTIT LIS BAKERY,,JL.RAJAWALI BARAT NO.89B RT.05/09,JUAL ROTI,6 ORANG,
116,DWI KARYA TEHNIK,,JL.MALEBER INPRES  NO.371 RT.01/04,JASA&PERDAGANGAN UMUM,,
117,,,JL.RAJAWALI BARAT NO.17 RT.01/02,PENYIMPANAN BARANG,,
118,CV.MITRA ASIH SEJAHTERA INDONESIA,,JL.MALEBER INPRES I NO.19 RT.07/04,JASA&PERDAGANGAN UMUM,40 ORANG,
119,CAHAYA MAKMUR,,JL.KASWARI NO.11 ,KONVEKSI SARUNG,,
120,PT.MASCOTINDO JAYA ABADI,,JL.MALEBER BARAT NO.77 BANDUNG,KONVEKSI PAKAIAN JADI,750 ORANG,
121,PT.TIKI JALUR NUGRAHA EKAKURIR,,JL.RAJAWALI BARAT NO.77 RT.05/09,JASA&PERDAGANGAN UMUM,,
122,Toko Klontongan ,,Jl. Rajawali Barat no.27,Klontongan ,4 Orang ,
123,Porquet Kayu,,Jl. Rajawali Barat ,,,
124,Helm,,Jl. Rajawali Barat ,Toko Helm,5 Orang ,
125,Marak lama,,Gg.M.Fatah II RT 02 /10 ,Eceran LPG 3 Kg,5 orang ,
126,Isma Collection,,Gg.M.Fatah II RT 01 /10 ,Boutique,3 Orang ,
127,PT Meiji,,Jln Burung Tungku,jual obat,25 orang,2010
128,PT JUNGER,,Jln Kasuari,Distributor obat,25 orang,1999
129,Limas Raga Inti,,Jl.Rajawali Barat Rt 05 RW 01,Gas LPG dan oli,15 Orang,
130,CV SURYA SAKTI,,Jln. Jendr.Sudirman  RT 03 RW 01,Dealer Mitsubishi,100 orang,
131,CV Kerta Mulia ,,Jl.Maleber Barat  RT 02 RW 03,Keramik,20 orang,
132,CV KMT,,Jln Maleber Barat Rt 02 RW 03,Plastik,50 Orang,
133,CV Penta Vallent,,Jln Maleber Barat RT 02 RW 03,Farmasi ,10 Orang,
134,PT Mascottindo Jaya Abadi,,Jln Maleber Barat RT 04 RW 04,Garment,150 Orang,
135,KONVEKSI,,Jln Sejahtera Raya RT 02 RW 05,,25 Orang,
136,KONVEKSI,,Jln Pelita Karya Raya RT 03 RW 05,,5 Orang,
137,CV Hendrik Caterring,,Jln Srigunting Rw 01 RW 08,Makanan,30 Orang ,
138,GUDANG KARDUS TANTI,,Jln. Jendr.Sudirman  RT 02 RW 10,Limbah,30 0rang,
139,GUDANG KARDUS MINSEN,,Jln. Jendr.Sudirman  RT 02 RW 11,Limbah,30 0rang,
140,CV Bintang Tujuh,,Jln.Jendr Sudirman  RT 02 Rw 11,Daur Ulang Plastik,50 orang,
141,CV POLA CATTERING,,Jln. Elang No 27 RT 03 Rw 11,Makanan,50 Orang,
142,PT Pertamina ,,Jln Rajawali Barat RT 04 RW 11,Minyak bumi,30 Orang,
143,PT BPR,,Jln Jendr.Sudirman RT 02 RW 11,Perputaran Uang,30 Orang ,
144,CV Bintang Terang,,Jln Jendr Sudirman Rt 01 RW 11,Pembubutan Onderdil,15 Orang ,
145,,,Jl.Elang VII Rt 01/10,Warung sembako,2 orang ,
146,,,Jl.Jend Sudirman  RT 02/10,Warung klontong ,2 orang ,
147,,,GG. M. Fatah I RT. 01/10,Warung klontong ,2 orang ,
148,,,GG. M. Fatah I RT. 01/10,Warung  Sembako,2 orang ,
149,,,Jl. Ters. Elang IX RT.05/10,Warung  Nasi,2 orang ,
150,,,GG. M. Fatah I RT. 01/10,Makanan Instan,2 orang ,
151,,,GG. M. Fatah II RT. 02/10,Warung klontong ,2 orang ,
152,,,GG. M. Fatah II RT. 02/10,Warung  Makanan,2 orang ,
153,,,GG. M. Fatah II RT. 02/10,Warung  Makanan,2 orang ,
154,,,GG. M. Fatah II RT. 02/10,Warung  Makanan,2 orang ,
155,,,GG. M. Fatah II RT. 02/10,Pempek,2 orang ,
156,,,GG. M. Fatah II RT. 02/10,Surabi,1 orang,
157,,,GG. M. Fatah I RT. 01/10,Lotek,1 orang ,
158,,,GG. M. Fatah I RT. 01/10,Warung  Makanan,3 orang ,
159,,,GG. Cikahuripan RT.03/10,Warung  Makanan,3 orang ,
160,,,GG. Cikahuripan RT.03/10,Warung  Makanan,3 orang ,
161,,,GG. Cikahuripan RT.03/10,Warung  Makanan,3 orang ,
162,,,Jl. Elang VII RT.04/10,Jual Air Bersih ,3 orang ,
163,,,GG. M. Fatah II RT. 02/10,Basreng, Seblak ,2 orang ,
164,,,GG. M. Fatah II RT. 02/10,Lotek,2 orang ,
165,,,GG. M. Fatah II RT. 02/10,Jual Makanan,2 orang ,
166,,,Jl. Elang VII RT.02/10,Kios Rokok ,2 orang ,
167,CV. TOTAL IMAGINE,,Jl. Elang  VII Belakang  No 11 RT.04/10 Maleber,Konveksi,4 Orang,
168,JAYA AGUNG,,JL. Rajawali  Barat No.35 RT.03/02 Maleber,Dagang ( Sepeda Anak ),2 Orang,
169,CV. DIC'A SELARAS,,Maltra  Residen  Kav. A.4 Ruko 1  RT.02 RW. 07  Kelurahan Maleber Kec. Andir,Perdagangan Umum dan Jasa,5 Orang,
,,CAMPAKA,,,,
170,CV. Mecopro Teknik,,Gg. Bp.Ohe RT.02/05,Tower konstruksi,8,2001
171,Cv. Maju Lestari,,Jl.Katalina Raya 9 ,Garmen kaos,12,2007
172,Cv. Citra Sentosa,,Bojong Koneng RT.03/06,Perdagangan,jasa,2,2007
173,CV.Cahaya Abadi ,,Jl. Paledang RT.06/02,bengkel bubut,5,2008
174,Cv.Panghegar Putra Mandiri,,Jl.Raya Cibeureum 60 Rt. 05/04,Perdagangan,4,2008
175,Prim Saudara Mandiri,,Jl.Katalina no1A RT.01/03,Perdagangan,jasa,5,2008
176,Toko Bangunan Albiner,,Jl.Cimindi 180 RT.06/05,Perdagangan umum,3,2008
177,Cv.Lingga Kencana,,Jl.Paledang RT.05/02,Perdagangan,3,2009
178,Toko Aneka Baut,,Jl. Ry Cibeureum 112 Rt. 01/05,Perdagangan,4,2009
179,PT.Rayraka Dinasty,,Paledang 163 RT.03/02,Kontraktor,perdagangan,4,2010
180,Toko Kurnia Intan,,Jl.Cimindi 103 RT.05/06,Perdagangan,5,1999
181,PD.Daya Logam,,Jl.Raya Cibeureum 18 Rt. 01/01,Perdagangan,3,2011
182,Klinik Dewi Fortuna,,Jl.Raya Cibeureum 114 Rt. 01/05,Pelayanan kesehatan,4,2004
183,CV.Kurnia Hikmat Putra,,Bbk.Cibeureum 30 Rt. 02/01,Jasa Angkutan barang,4,2009
184,,,Jl.Raya Cibeureum  Rt. 02/05,Bengkel motor,3,2012
185,Cv. Pron Inc,,Jl. Paledang 76 RT.01/02,Disain Graphis,3,2012
186,CV.Ardan   Teknik,,Jl. Paledang 76 RT.01/02,Jasa, perdagangan,4,2012
187,CV.Ridzki Ramdhan,,Jl.Raya Cibeureum Rt. 01/01,Perdagangan dan jasa,3,1994
188,Hikmat Teknik,,Paledang 42A RT.01/02,Bengkel bubut,3,2012
189,CV.Citra Sejati Utama,,Jl.Paledang 297 RT.05/02,Perdag umum dan Angk wisata ,3,2011
190,CV.Medsuco,,Jl.Mega Asri C.6 RT.06/07,perdagangan umum,3,2013
191,CV. Samijaya,,Jl. Paledang 12  RT.01/02,perdagangan , Pabrik Plastik,15,2013
192,Galeri 16,,Jl.Raya Cibeureum 16 Rt. 01/01,Galeri bambu,5,2000
193,CV.Moa Hayati Mandiri,,Jl.Saptamarga no.10A Rt. 05 Rw. 04,Ktr peternakan Kelinci,3,2013
194,PT.Inti Mitra Cipta Karya,,Perum My Home RT.03/07,Perdagangan,jasa,3,2007
195,CV. Putra Setia,,Babakan Cianjur RT.04/07,Perdagangan,3,2002
196,CV. Gusty Putra Sentosa,,Komplek Bio Farma 23 Rt. 06/ 07,Perdagangan,jasa,4,2013
