KODE REKENING,URAIAN,JUMLAH,DASAR HUKUM
1.20 . 1.20.19 . 00 . 00 . 5,BELANJA,20000535152,
1.20 . 1.20.19 . 00 . 00 . 5 . 1,BELANJA TIDAK LANGSUNG,5204134230,
1.20 . 1.20.19 . 00 . 00 . 5 . 1 . 1,Belanja Pegawai,5204134230,PP 12 Tahun 2006 ttg Tunjangan Umum bagi PNS
1.20 . 1.20.19 . 01 . 02 . 5 . 2,BELANJA LANGSUNG,14796400922,
1.20 . 1.20.19 . 01,Program Pelayanan Administrasi Perkantoran,2623109922,
1.20 . 1.20.19 . 01 . 02,Penyediaan jasa komunikasi Sumber daya air dan listrik,184771922,
1.20 . 1.20.19 . 01 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,184771922,
1.20 . 1.20.19 . 01 . 06,Penyediaan jasa pemeliharaan dan perizinan kendaraan dinas/operasional,20000000,
1.20 . 1.20.19 . 01 . 06 . 5 . 2 . 2,Belanja Barang dan Jasa,20000000,
1.20 . 1.20.19 . 01 . 08,Penyediaan jasa kebersihan kantor,107200000,
1.20 . 1.20.19 . 01 . 08 . 5 . 2 . 2,Belanja Barang dan Jasa,107200000,
1.20 . 1.20.19 . 01 . 09,Penyediaan jasa perbaikan peralatan kerja,64000000,
1.20 . 1.20.19 . 01 . 09 . 5 . 2 . 2,Belanja Barang dan Jasa,64000000,
1.20 . 1.20.19 . 01 . 10,Penyediaan alat tulis kantor,90170500,
1.20 . 1.20.19 . 01 . 10 . 5 . 2 . 2,Belanja Barang dan Jasa,90170500,
1.20 . 1.20.19 . 01 . 11,Penyediaan barang cetakan dan penggandaan,112124500,
1.20 . 1.20.19 . 01 . 11 . 5 . 2 . 2,Belanja Barang dan Jasa,112124500,
1.20 . 1.20.19 . 01 . 12,Penyediaan komponen instalasi listrik/penerangan bangunan kantor,39500000,
1.20 . 1.20.19 . 01 . 12 . 5 . 2 . 2,Belanja Barang dan Jasa,39500000,
1.20 . 1.20.19 . 01 . 13,Penyediaan peralatan dan perlengkapan kantor,1416660000,
1.20 . 1.20.19 . 01 . 13 . 5 . 2 . 1,Belanja Pegawai,1100000,
1.20 . 1.20.19 . 01 . 13 . 5 . 2 . 2,Belanja Barang dan Jasa,13000000,
1.20 . 1.20.19 . 01 . 13 . 5 . 2 . 3,Belanja Modal,1402560000,
1.20 . 1.20.19 . 01 . 14,Penyediaan peralatan rumah tangga,55825000,
1.20 . 1.20.19 . 01 . 14 . 5 . 2 . 2,Belanja Barang dan Jasa,53325000,
1.20 . 1.20.19 . 01 . 14 . 5 . 2 . 3,Belanja Modal,2500000,
1.20 . 1.20.19 . 01 . 15,Penyediaan bahan bacaan dan peraturan perundang-undangan,81100000,
1.20 . 1.20.19 . 01 . 15 . 5 . 2 . 2,Belanja Barang dan Jasa,81100000,
1.20 . 1.20.19 . 01 . 17,Penyediaan makanan dan minuman,201758000,
1.20 . 1.20.19 . 01 . 17 . 5 . 2 . 2,Belanja Barang dan Jasa,201758000,
1.20 . 1.20.19 . 01 . 18,Rapat-rapat koordinasi dan konsultasi ke luar daerah,250000000,
1.20 . 1.20.19 . 01 . 18 . 5 . 2 . 2,Belanja Barang dan Jasa,250000000,
1.20 . 1.20.19 . 02,Program Peningkatan Sarana dan Prasarana Aparatur,1790669000,
1.20 . 1.20.19 . 02 . 05,pengadaan Kendaraan dinas/operasional,188000000,
1.20 . 1.20.19 . 02 . 05 . 5 . 2 . 2,Belanja Barang dan Jasa,4500000,
1.20 . 1.20.19 . 02 . 05 . 5 . 2 . 3,Belanja Modal,183500000,
1.20 . 1.20.19 . 02 . 10,Pengadaan mebeleur,200000000,
1.20 . 1.20.19 . 02 . 10 . 5 . 2 . 3,Belanja Modal,200000000,
1.20 . 1.20.19 . 02 . 22,Pemeliharaan rutin/berkala gedung kantor,384000000,
1.20 . 1.20.19 . 02 . 22 . 5 . 2 . 1,Belanja Pegawai,1000000,
1.20 . 1.20.19 . 02 . 22 . 5 . 2 . 2,Belanja Barang dan Jasa,383000000,
1.20 . 1.20.19 . 02 . 24,Pemeliharaan rutin/berkala kendaraan dinas/operasional,837569000,
1.20 . 1.20.19 . 02 . 24 . 5 . 2 . 2,Belanja Barang dan Jasa,837569000,
1.20 . 1.20.19 . 02 . 42,Rehabilitasi sedang/berat gedung kantor,181100000,
1.20 . 1.20.19 . 02 . 42 . 5 . 2 . 1,Belanja Pegawai,1100000,
1.20 . 1.20.19 . 02 . 42 . 5 . 2 . 3,Belanja Modal,180000000,
1.20 . 1.20.19 . 03,Program peningkatan disiplin aparatur,194625000,
1.20 . 1.20.19 . 03 . 02,Pengadaan pakaian dinas beserta perlengkapannya,47800000,
1.20 . 1.20.19 . 03 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,47800000,
1.20 . 1.20.19 . 03 . 04,Pengadaan pakaian KORPRI,24200000,
1.20 . 1.20.19 . 03 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,24200000,
1.20 . 1.20.19 . 03 . 05,Pengadaan pakaian khusus hari-hari tertentu,122625000,
1.20 . 1.20.19 . 03 . 05 . 5 . 2 . 1,Belanja Pegawai,1000000,
1.20 . 1.20.19 . 03 . 05 . 5 . 2 . 2,Belanja Barang dan Jasa,121625000,
1.20 . 1.20.19 . 05,Program Peningkatan Kapasitas Sumber Daya Aparatur,126000000,
1.20 . 1.20.19 . 05 . 04,Pembinaan Kinerja Aparatur,126000000,
1.20 . 1.20.19 . 05 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,126000000,
1.20 . 1.20.19 . 06,Program peningkatan pengembangan sistem pelaporan capaian kinerja dan keuangan,233450000,
1.20 . 1.20.19 . 06 . 01,Penyusunan laporan capaian kinerja dan ikhtisar realisasi kinerja SKPD,143450000,
1.20 . 1.20.19 . 06 . 01 . 5 . 2 . 1,Belanja Pegawai,65900000,
1.20 . 1.20.19 . 06 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,77550000,
1.20 . 1.20.19 . 06 . 02,Penyusunan pelaporan keuangan semesteran,25000000,
1.20 . 1.20.19 . 06 . 02 . 5 . 2 . 1,Belanja Pegawai,2575000,
1.20 . 1.20.19 . 06 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,22425000,
1.20 . 1.20.19 . 06 . 03,Penyusunan pelaporan prognosis realisasi anggaran,25000000,
1.20 . 1.20.19 . 06 . 03 . 5 . 2 . 1,Belanja Pegawai,2575000,
