NO,NAMA,ALAMAT,KELURAHAN ,KETERANGAN
1,RATU FARMA,JL. KEBONJATI NO. 106,KEBON JERUK,APOTEK/ TOKO OBAT
2,MERDEKA FARMA,JL. PASAR BARAT NO. 4 - 6,KEBON JERUK,APOTEK
3,PERINTIS,JL. PASAR BARAT NO. 4 - 6,KEBON JERUK,APOTEK
4,MAJU JAYA,JL. PASAR SELATAN NO. 22,KEBON JERUK,APOTEK
5,DURMAN,JL. DURMAN NO. 49,KEBON JERUK,APOTEK
6,MURAH,JL. KEBON JATI NO. 111,KEBON JERUK,APOTEK
7,SINAR ABADI,JL. BELAKANG PASAR NO. 33,KEBON JERUK,APOTEK
8,PLANET ,JL. PASAR SELATAN NO. 10,KEBON JERUK,APOTEK
9,GRAHA LABORA,JL. KEBON JATI NO. 87,KEBON JERUK,APOTEK
10,ENG SAN TJAN,JL. PASAR SELATAN NO. 20,KEBON JERUK,TOKO OBAT
11,BABAH KUYA,JL. PASAR SELATAN,KEBON JERUK,TOKO OBAT
12,SUISE,PASAR BARU LT.4 B2 (42-43),KEBON JERUK,PENGECER OBAT
13,SINAR DUA,JL. JEND. SUDIRMAN NO. 300,KEBON JERUK,PENGECER OBAT
14,ASIA,JL. JEND. SUDIRMAN NO. 158,KEBON JERUK,PENGECER OBAT
15,SUMBER SEHAT,JL. JEND. SUDIRMAN NO. 162,KEBON JERUK,PENGECER OBAT
16,HIDUP BARU ,JL. JEND. SUDIRMAN NO. 196,KEBON JERUK,PENGECER OBAT
17,DUA LANGIT,JL. JEND. SUDIRMAN NO. 302,KEBON JERUK,PENGECER OBAT
